"","990
116","3","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
152","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"Reading and Research","Course Total","31","",".",".",".",".",".",".",".","93.5","",".",".",".","3.2",".",".","3.2","."
"Smr-Applied Mathematics","991
001","6","4.000","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".",".","."
"MATH
600","Dept. Total","5243","2.843","26.9","13.3","22.2","8.0","15.8","7.3","3.6","1.5","",".","1.1",".","0.0","0.0","0.2","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1491","2.645","17.8","12.2","24.7","9.5","19.3","10.1","4.6",".","",".","1.6",".",".",".","0.1",".","."
"Sophomore","","1778","2.848","24.7","14.8","23.8","8.5","16.5","6.4","3.7","0.1","",".","1.5",".",".",".","0.1",".","."
"Junior","","905","2.861","26.6","13.1","23.5","9.0","16.0","7.7","3.0","0.1","",".","0.7",".",".",".","0.2",".","."
"Senior","","589","2.850","28.0","14.9","20.9","6.6","16.3","7.5","4.4","0.2","",".","0.2",".",".",".","0.7","0.3","."
"Undergraduates","","4763","2.780","23.3","13.7","23.7","8.7","17.3","7.9","3.9","0.1","",".","1.2",".",".",".","0.2","0.0","."
"Special","","81","3.270","17.3","8.6","13.6","2.5","3.7","1.2",".","51.9","",".",".",".",".",".",".","1.2","."
"Graduate","","398","3.802","72.1","9.0","5.5","1.0","0.8","0.5","0.8","8.8","",".",".",".","0.3","0.5",".","0.8","."
"Prof Yr 4","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Professionals","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"","Dept. Total","5243","2.843","26.9","13.3","22.2","8.0","15.8","7.3","3.6","1.5","",".","1.1",".","0.0","0.0","0.2","0.1","."
