"CURRICULUM AND INSTRUCTIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"","537
002","28","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Diverse Learners","Course Total","55","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org&Adm-School Hlth Progms","541
001","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teacher Ed-Alcohol & Drugs","542
001","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract-Spec Ed in the Arts","566
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Dsgn&Prod Elec Instr Matrls","603
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar on Literacy","604
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","620
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","626
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","626
002","20","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Action Research in Schools","Course Total","29","4.000","93.1",".",".",".",".",".",".",".",".",".",".",".","6.9",".",".","."
"","660
001","29","3.862","79.3","17.2",".","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","660
002","19","3.632","36.8","52.6","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Early Childhood Education","Course Total","48","3.771","62.5","31.3","4.2","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Elem School Curriculum","662
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","28","4.000","78.6",".",".",".",".",".",".","21.4",".",".",".",".",".",".",".","."
"","675
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","20","3.850","95.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","675
003","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
003","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
005","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
006","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
006","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","5","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
012","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Seminar","Course Total","145","3.980","94.5","0.7",".","0.7",".",".",".","4.1",".",".",".",".",".",".",".","."
"","690
010","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
039","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
052","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
053","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 84 of 401"
