"Computer-Based Data Mgt","422
001","","8","3.571","25.0","50.0","12.5",".",".",".",".","","12.5",".","",".",".","",".","",".","",".",".","."
"Anal&Dsgn:Comptr-Based Sys","424
001","","11","3.182","36.4","27.3","9.1","9.1","9.1","9.1",".","",".",".","",".",".","",".","",".","",".",".","."
"Computer-Based Data Mgt","722
001","","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Anal&Dsgn:Comptr-Based Sys","724
001","","3","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"INFO SYS
234","Dept. Total","","41","3.538","46.3","31.7","9.8","4.9","2.4","2.4","",".","2.4","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","2","3.250",".","50.0","50.0",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","12","3.750","58.3","33.3","8.3",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","22","3.386","40.9","31.8","9.1","9.1","4.5","4.5","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","36","3.500","44.4","33.3","11.1","5.6","2.8","2.8","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","5","3.875","60.0","20.0",".",".",".",".","",".","20.0","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","41","3.538","46.3","31.7","9.8","4.9","2.4","2.4","",".","2.4","",".",".","",".","",".","",".",".",".","."
