"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","",""
"EGR","College Total","10534","3.274","36.0","19.1","17.9","","7.9 Name? Name? Name? Name? Name? Name? Name? Name? Name? Name? Name?","","","","","","","","","","","#Name?"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"EGR","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","306","2.991","29.4","20.9","18.0","13.4","7.5","2.9","2.3","5.2",".","0.3",".",".",".",".",".","."
"Sophomore","","909","3.110","31.5","20.6","19.8","11.0","8.4","2.0","1.4","4.1","0.1","1.0","0.1",".",".","0.1",".","."
"Junior","","1856","3.121","31.8","21.0","23.0","10.8","8.8","2.0","1.2","0.9","0.1","0.2",".",".",".","0.1",".","0.1"
"Senior","","4747","3.232","37.5","21.1","20.2","9.4","8.4","1.9","0.9","0.1",".","0.3","0.0",".","0.1","0.1","0.1","."
"Undergraduates","","7818","3.185","35.1","21.0","20.7","10.1","8.5","2.0","1.1","1.0","0.0","0.4","0.0",".","0.0","0.1","0.1","0.0"
"Special","","143","3.347","35.7","19.6","17.5","7.7","5.6","0.7","0.7","3.5",".",".","0.7",".","5.6","0.7","2.1","."
"Graduate","","2675","3.674","37.7","12.9","8.8","1.1","0.8",".","0.0","27.6","0.2","3.9",".","5.8","0.5","0.1","0.4","0.0"
"Prof Yr 3","","6","3.550","33.3","16.7","16.7",".",".",".",".","16.7",".","16.7",".",".",".",".",".","."
"Prof Yr 4","","7","3.938","71.4","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Professionals","","13","3.788","53.8","15.4","7.7",".",".",".",".","15.4",".","7.7",".",".",".",".",".","."
"","College Total","10649","3.274","35.8","18.9","17.7","7.8","6.5","1.5","0.8","7.7","0.1","1.2","0.0","1.5","0.2","0.1","0.2","0.0"
