"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Social Policy","206
001","","184","3.682","66.3","22.8","2.7","4.9","0.5","1.6","1.1",".",".",".",".",".",".",".",".","."
"","401
002","","10","3.695","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
004","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
006","","9","3.953","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
007","","13","3.956","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
008","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","401
009","","12","3.830","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
010","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
015","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","Course Total","","85","3.929","85.9","11.8","1.2",".",".",".",".",".",".",".",".",".","1.2",".",".","."
"","442
001","","25","3.580","36.0","44.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
002","","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
003","","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
004","","22","3.886","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac III: Generalist-Comm&Orgs","Course Total","","83","3.801","67.5","25.3","7.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol & Other Drug Abuse","453
001","","228","3.852","84.6","7.0","3.9","2.2","1.3","0.4",".","0.4",".",".",".",".",".",".",".","."
"Small Groups-Soc Work Pract","454
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Behavior & Environmnt","457
001","","93","3.747","60.2","28.0","7.5","2.2",".",".",".",".",".",".",".",".","1.1",".",".","1.1"
"Child Welfare","462
001","","22","3.818","68.2","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"African American Families","521
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Homelessness: Service Learning","578
001","","24","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","579
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","579
003","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Social Work","Course Total","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Policy","606
001","","41","3.915","87.8","9.8",".","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Social Wrk with Small Group","624
001","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Social Work with Community","626
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","","24","3.913","79.2","16.7",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"","640
002","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","Course Total","","49","3.958","89.8","8.2",".",".",".",".",".",".",".",".",".",".","2.0",".",".","."
"Social Work and Adolescents","642
001","","15","3.526","40.0","33.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
001","","42","3.796","73.8","16.7","7.1","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","644
002","","7","3.647","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Work & Devel Disabilities","Course Total","","49","3.777","71.4","16.3","10.2","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Child Abuse and Neglect","646
001","","26","3.548","30.8","46.2","19.2",".",".",".",".",".",".",".",".",".",".","3.8",".","."
"Methods-Social Wrk Research","650
001","","72","3.208","25.0","23.6","33.3","9.7","5.6","2.8",".",".",".",".",".",".",".",".",".","."
"Fam Prac-Foster & Kinship Care","656
001","","18","3.694","55.6","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Indian Affairs","658
001","","9","3.827","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","661
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","667
001","","15","3.898","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 297 of 401",""
