"","990
084","4","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
096","2","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
097","1","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"Research","Course Total","54","",".",".",".",".",".",".",".","98.1","",".",".",".","",".","",".",".","1.9","."
"PHYSIOL
762","Dept. Total","730","3.175","41.0","9.7","19.5","3.0","11.6","6.4","0.8","7.3","",".",".",".","",".","",".",".","0.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","62","2.278","12.9","6.5","19.4","6.5","30.6","21.0","3.2",".","",".",".",".","",".","",".",".",".","."
"Junior","","137","2.679","34.3","2.9","19.7","2.9","19.7","17.5","2.9",".","",".",".",".","",".","",".",".",".","."
"Senior","","165","3.089","38.8","6.7","26.1","3.6","18.2","5.5",".",".","",".",".",".","",".","",".",".","1.2","."
"Undergraduates","","364","2.793","32.7","5.2","22.5","3.8","20.9","12.6","1.6",".","",".",".",".","",".","",".",".","0.5","."
"Special","","13","2.625","23.1",".","7.7","7.7","53.8",".",".",".","",".",".",".","",".","",".",".","7.7","."
"Graduate","","188","3.587","43.1","17.0","6.9","3.7","1.1","0.5",".","27.1","",".",".",".","",".","",".",".","0.5","."
"Prof Yr 1","","161","3.650","58.4","12.4","28.6",".",".",".",".","0.6","",".",".",".","",".","",".",".",".","."
"Prof Yr 2","","1","",".",".",".",".",".",".",".",".","",".",".",".","",".","",".",".","100.0","."
"Prof Yr 3","","2","4.000","50.0",".",".",".",".",".",".","50.0","",".",".",".","",".","",".",".",".","."
"Prof Yr 4","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".","",".","",".",".",".","."
"Professionals","","165","3.651","58.2","12.1","27.9",".",".",".",".","1.2","",".",".",".","",".","",".",".","0.6","."
"","Dept. Total","730","3.175","41.0","9.7","19.5","3.0","11.6","6.4","0.8","7.3","",".",".",".","",".","",".",".","0.7","."
