"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","335","2.722","14.9","13.4","20.0","17.9","26.9","5.4","0.9",".","0.3",".",".",".",".","0.3",".","."
"132","002","","468","2.663","13.7","11.8","19.9","15.0","33.1","4.9","0.9","0.4",".",".",".",".",".","0.2",".","0.2"
"132","003","","237","2.635","9.7","14.8","18.1","15.6","29.5","3.8","2.1","5.9",".",".",".",".","0.4",".",".","."
"Nutrition Today","Course Total","","1040","2.676","13.2","13.0","19.5","16.1","30.3","4.8","1.2","1.5","0.1",".",".",".","0.1","0.2",".","0.1"
"289
Honors Independent Study","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"320
Nutrition for Health & Disease","001","","80","3.453","45.0","22.5","11.3","3.8","7.5","2.5",".","7.5",".",".",".",".",".",".",".","."
"332
Human Nutritional Needs","001","","147","2.769","22.4","6.1","34.0","3.4","21.8","11.6","0.7",".",".",".",".",".",".",".",".","."
"350
World Hunger & Malnutrition","001","","47","3.544","55.3","21.3","6.4","6.4","4.3",".","2.1","2.1",".",".",".",".",".",".","2.1","."
"431
Nutrition in the Life Span","001","","67","3.194","28.4","7.5","47.8","7.5","9.0",".",".",".",".",".",".",".",".",".",".","."
"499
Capstone in Nutrition","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"520","001","","18","3.750","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"520","002","","19","3.605","47.4","36.8","5.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Applications-Clin Nutrition","Course Total","","37","3.676","51.4","37.8","5.4","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"540
Commun Nutr Prgms & Policy Iss","001","","13","3.769","69.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"619
Adv Nutr: Metab-Macronutrients","001","","10","3.200","10.0","20.0","70.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"625
Adv Nutritn: Obesity&Diabetes","001","","13","3.708","46.2","38.5","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"672","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"672","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Herbl, Homeopthy&Diet","Course Total","","7","3.857","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"799","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Nutri Sciences Tchg","Course Total","","3","***","","","","","","","","","","","","","","","",""
"881
Smr-Human&Clinicl Nutrition","001","","15","3.833","40.0","20.0",".",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","30","4.000","16.7",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","."
"991","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
