"Research and Thesis","Course Total","6","",".",".",".",".",".",".",".","100.0","",".",".",".","",".",".",".",".","."
"","999
003","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","999
008","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"Independent Work","Course Total","2","***","","","","","","","","","","","","","","","","","",""
"COMP LIT
260","Dept. Total","431","3.379","25.8","36.7","25.1","7.0","1.9","0.7","0.2","2.1","",".",".",".","",".","0.7",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"260
COMP LIT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","78","3.149","7.7","39.7","41.0","5.1","3.8","1.3","1.3",".","",".",".",".","",".",".",".",".","."
"Sophomore","","135","3.338","20.7","39.3","28.1","9.6","2.2",".",".",".","",".",".",".","",".",".",".",".","."
"Junior","","69","3.453","27.5","42.0","21.7","8.7",".",".",".",".","",".",".",".","",".",".",".",".","."
"Senior","","101","3.428","32.7","33.7","20.8","5.9","1.0","2.0",".","2.0","",".",".",".","",".","2.0",".",".","."
"Undergraduates","","383","3.344","22.5","38.4","27.7","7.6","1.8","0.8","0.3","0.5","",".",".",".","",".","0.5",".",".","."
"Special","","4","3.200","25.0","25.0",".",".","25.0",".",".",".","",".",".",".","",".","25.0",".",".","."
"Graduate","","44","3.764","54.5","22.7","4.5","2.3",".",".",".","15.9","",".",".",".","",".",".",".",".","."
"","Dept. Total","431","3.379","25.8","36.7","25.1","7.0","1.9","0.7","0.2","2.1","",".",".",".","",".","0.7",".",".","."
