"L&S","","","","","","","","","","","","","","","","","","","","","",""
"HEBREW (HEBREW AND SEMITI Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","","","","",""
"HEBR ST
Dept. Total
440","201","3.637","50.2","25.4","16.9","0.5","1.5","0.5","",".","4.5","",".",".","",".","0.5","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","29","3.596","62.1","6.9","27.6",".",".","3.4","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","45","3.679","62.2","22.2","11.1",".","4.4",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","46","3.694","54.3","28.3","13.0","2.2",".",".","",".","2.2","",".",".","",".",".","",".",".",".","."
"Senior","35","3.624","42.9","37.1","20.0",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","155","3.655","55.5","24.5","16.8","0.6","1.3","0.6","",".","0.6","",".",".","",".",".","",".",".",".","."
"Special","9","3.159","11.1","22.2","22.2",".","11.1",".","",".","33.3","",".",".","",".",".","",".",".",".","."
"Graduate","36","3.637","38.9","30.6","16.7",".",".",".","",".","11.1","",".",".","",".","2.8","",".",".",".","."
"Prof Yr 1","1","",".",".",".",".",".",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Professionals","1","",".",".",".",".",".",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Dept. Total","201","3.637","50.2","25.4","16.9","0.5","1.5","0.5","",".","4.5","",".",".","",".","0.5","",".",".",".","."
