"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"Print&Electronic Media Dsgn","Course Total","","29","3.603","58.6","13.8","17.2","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"532
Web Design for the Sciences","001","","10","3.778","60.0","20.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","19","3.990","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"875","002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","003","","11","3.778","45.5","36.4",".",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"875","004","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","41","3.914","82.9","12.2",".",".",".",".",".",".",".",".",".",".","4.9",".",".","."
"990","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","22","",".",".",".",".",".",".",".","90.9",".",".",".","4.5","4.5",".",".","."
"999","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
