"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"911
Seminar in Musicology","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"915
Seminar in Ethnomusicology","001","","12","3.950","75.0","8.3",".",".",".",".",".","8.3",".",".",".",".","8.3",".",".","."
"923
Seminar in Notation","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"927
Seminar in Composition","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Masters Thesis","Course Total","","10","",".",".",".",".",".",".",".","80.0",".",".",".",".","10.0",".","10.0","."
"999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","027","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","091","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Work","Course Total","","52","",".",".",".",".",".",".",".","90.4","1.9",".",".","3.8","3.8",".",".","."
