"","990
060","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","990
063","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","990
082","4","***","","","","","","","","","","",".",".",".","",".",".",".","."
"Research","Course Total","47","",".",".",".",".",".",".","",".","97.9","2.1",".",".","",".",".",".",".","."
"PHM SCI
718","Dept. Total","758","3.304","42.3","14.6","20.8","9.9","5.0","0.8","",".","6.2","0.1",".",".","",".","0.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","4.000","100.0",".",".",".",".",".","",".",".",".",".",".","",".",".",".",".","."
"Junior","","12","3.500","66.7","8.3","8.3","16.7",".",".","",".",".",".",".",".","",".",".",".",".","."
"Senior","","58","3.399","58.6","12.1","12.1","10.3","6.9",".","",".",".",".",".",".","",".",".",".",".","."
"Undergraduates","","72","3.430","61.1","11.1","11.1","11.1","5.6",".","",".",".",".",".",".","",".",".",".",".","."
"Graduate","","134","3.828","56.0","5.2","3.0",".",".",".","",".","35.1","0.7",".",".","",".",".",".",".","."
"Prof Yr 1","","126","2.784","5.6","17.5","30.2","28.6","13.5","4.0","",".",".",".",".",".","",".","0.8",".",".","."
"Prof Yr 2","","374","3.493","48.9","17.9","23.3","6.7","2.9","0.3","",".",".",".",".",".","",".",".",".",".","."
"Prof Yr 3","","51","3.144","23.5","13.7","41.2","11.8","9.8",".","",".",".",".",".",".","",".",".",".",".","."
"Prof Yr 4","","1","2.000",".",".",".",".","100.0",".","",".",".",".",".",".","",".",".",".",".","."
"Professionals","","552","3.248","36.6","17.4","26.4","12.1","6.2","1.1","",".",".",".",".",".","",".","0.2",".",".","."
"","Dept. Total","758","3.304","42.3","14.6","20.8","9.9","5.0","0.8","",".","6.2","0.1",".",".","",".","0.1",".",".","."
