"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","178","3.062","13.5","29.8","30.9","14.0","8.4","1.7","1.1","0.6",".",".",".",".",".",".",".","."
"","120","001","87","2.764","13.8","5.7","28.7","29.9","18.4","3.4",".",".",".",".",".",".",".",".",".","."
"","120","002","137","2.820","13.9","10.2","31.4","27.0","13.1","0.7","2.9","0.7",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","224","2.798","13.8","8.5","30.4","28.1","15.2","1.8","1.8","0.4",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127","001","50","3.060","16.0","30.0","30.0","14.0","4.0","4.0","2.0",".",".",".",".",".",".",".",".","."
"Resources and People","139","001","52","2.730","15.4","17.3","19.2","19.2","9.6","15.4",".","3.8",".",".",".",".",".",".",".","."
"Map Reading&Interpretation","170","001","60","3.093","11.7","23.3","50.0","5.0","6.7",".","1.7",".",".",".",".",".","1.7",".",".","."
"SE Asia:Vietnam to Philipns","244","001","7","3.143","14.3","28.6","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Eastern Europe:Interdis Survey","254","001","7","3.571","42.9","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","11","3.000","9.1","18.2","45.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","16","3.200","43.8","18.8",".","18.8","6.3",".","6.3",".","6.3",".",".",".",".",".",".","."
"Introduction to the City","305","001","41","3.232","26.8","26.8","24.4","14.6","4.9","2.4",".",".",".",".",".",".",".",".",".","."
"Regional Develop & Planning","312","001","22","3.477","40.9","36.4","4.5","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"Climatology","321","001","18","3.167","33.3","11.1","27.8","22.2",".","5.6",".",".",".",".",".",".",".",".",".","."
"Landforms-Topics & Regions","326","001","26","3.000","23.1","15.4","15.4","23.1","11.5","3.8",".","7.7",".",".",".",".",".",".",".","."
"","339","001","17","2.794","17.6","11.8","35.3","17.6","5.9","5.9","5.9",".",".",".",".",".",".",".",".","."
"","339","002","27","2.519","7.4","11.1","14.8","25.9","33.3","7.4",".",".",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","44","2.625","11.4","11.4","22.7","22.7","22.7","6.8","2.3",".",".",".",".",".",".",".",".","."
"Europe","349","001","154","3.260","35.1","20.8","19.5","11.0","11.0","0.6","0.6","1.3",".",".",".",".",".",".",".","."
"Russia & NIS-Topical Anal","353","001","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quantitative Meth-Geog Anal","360","001","36","3.300","33.3","30.6","5.6","16.7","11.1",".",".",".",".",".",".",".",".","2.8",".","."
"Introduction to Cartography","370","001","37","3.230","35.1","18.9","18.9","21.6","2.7",".","2.7",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","32","3.141","28.1","25.0","31.3","3.1","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"Seminar","401","001","6","3.600","66.7",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","16.7"
"Space&Place-A Geog Expernce","501","001","23","3.783","56.5","43.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch the City: Qual Strategies","503","001","16","3.667","75.0","12.5",".",".",".",".","6.3",".",".",".",".",".","6.3",".",".","."
"Hist Geog-European Urbanztn","506","001","31","3.800","71.0","12.9","12.9",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"Economic Geography","510","001","17","3.588","41.2","35.3","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quaternary Vegetation Dynamics","523","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Landform Geography","524","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Past Climates&Climatic Chg","528","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Culture and Environment","537","001","23","3.194","17.4","13.0","34.8","8.7","4.3",".",".","8.7",".",".",".",".",".","8.7",".","4.3"
"Colloq-Undergraduate Majors","565","001","24","3.625","45.8","37.5","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Animated & Web-based Mapping","575","001","21","3.400","42.9","23.8","4.8","14.3","9.5",".",".","4.8",".",".",".",".",".",".",".","."
"GIS Applications","578","001","21","3.700","57.1","19.0","19.0",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","602","046","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Special Topics in Geography","675","001","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
