"WILDLIFE ECOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"960
WL ECOL","","","","","","","","","","","","","","","","","","","",""
"299","007","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","025","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","20","4.000","95.0",".",".",".",".",".",".",".",".",".",".",".",".",".","5.0","."
"301
Terr Vertbrt:Life Hist&Ecol","001","","45","3.000","24.4","13.3","26.7","13.3","15.6","4.4",".","2.2",".",".",".",".",".",".",".","."
"335
Hum/An Relatn:Bio&Phils Iss","001","","22","2.955","18.2",".","54.5","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","6","3.750","50.0","16.7",".","16.7",".",".",".",".",".",".",".",".",".","16.7",".","."
"379
Princ-Wildlife Management","001","","37","3.351","37.8","32.4","16.2","5.4","2.7","2.7","2.7",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"515
Renewable Resources Policy","001","","7","3.286","14.3","28.6","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"599
Wildlife Research Capstone","001","","13","3.615","23.1","76.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","12","3.409","66.7",".","8.3","8.3",".",".","8.3",".",".",".",".",".","8.3",".",".","."
"651
Conservation Biology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"655
Animal Population Dynamics","001","","35","2.871","14.3","22.9","20.0","20.0","17.1","5.7",".",".",".",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","13","3.820","69.2","7.7","7.7",".",".",".",".","7.7",".",".",".",".","7.7",".",".","."
"799
Pract-Wildlife Ecol Teachng","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"961
Seminar","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","18","",".",".",".",".",".",".",".","77.8",".",".",".","16.7",".",".","5.6","."
