"","699
012","","1","***","","","","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","699
013","","1","***","","","","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","699
014","","1","***","","","","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Directed Studies","Course Total","","16","3.929","87.5","6.3","6.3","",".","",".","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"BIOLOGY
205","Dept. Total","","79","3.930","29.1","2.5","1.3","",".","",".","",".","",".","",".","",".","60.8","6.3","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","30","",".",".",".","",".","",".","",".","",".","",".","",".","83.3","16.7","",".","",".",".",".","."
"Sophomore","","","21","4.000","4.8",".",".","",".","",".","",".","",".","",".","",".","95.2",".","",".","",".",".",".","."
"Junior","","","8","4.000","62.5",".",".","",".","",".","",".","",".","",".","",".","37.5",".","",".","",".",".",".","."
"Senior","","","20","3.911","85.0","10.0","5.0","",".","",".","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"Undergraduates","","","79","3.930","29.1","2.5","1.3","",".","",".","",".","",".","",".","",".","60.8","6.3","",".","",".",".",".","."
"","Dept. Total","","79","3.930","29.1","2.5","1.3","",".","",".","",".","",".","",".","",".","60.8","6.3","",".","",".",".",".","."
