"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","263","2.568","13.7","9.5","23.2","12.9","23.6","12.9","1.5","1.9","0.4",".",".",".",".","0.4",".","."
"","102
001","13","3.929","46.2","7.7",".",".",".",".",".","46.2",".",".",".",".",".",".",".","."
"","102
002","10","2.125","10.0",".",".","10.0","10.0",".","10.0","60.0",".",".",".",".",".",".",".","."
"Beginning Swimming","Course Total","23","3.273","30.4","4.3",".","4.3","4.3",".","4.3","52.2",".",".",".",".",".",".",".","."
"Self-defense&Assault Prevnt","111
001","18","3.861","83.3","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
001","21","4.000","4.8",".",".",".",".",".",".","85.7",".",".",".",".",".",".","9.5","."
"","125
002","22","4.000","13.6",".",".",".",".",".",".","77.3",".",".",".",".",".",".","9.1","."
"","125
003","18","",".",".",".",".",".",".",".","94.4",".",".",".",".",".",".","5.6","."
"","125
004","14","4.000","7.1",".",".",".",".",".",".","92.9",".",".",".",".",".",".",".","."
"Adapted Fitness&Pers Traing","Course Total","75","4.000","6.7",".",".",".",".",".",".","86.7",".",".",".",".",".",".","6.7","."
"","127
001","22","3.625","13.6","18.2","4.5",".",".",".",".","59.1","4.5",".",".",".",".",".",".","."
"","127
002","18","3.625","33.3","16.7","16.7",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","127
003","18","3.100",".","11.1","11.1","5.6",".",".",".","72.2",".",".",".",".",".",".",".","."
"","127
004","21","3.344","33.3","4.8","23.8","9.5","4.8",".",".","19.0","4.8",".",".",".",".",".",".","."
"Bowling I","Course Total","79","3.451","20.3","12.7","13.9","3.8","1.3",".",".","45.6","2.5",".",".",".",".",".",".","."
"","129
001","27","4.000","85.2",".",".",".",".",".",".","14.8",".",".",".",".",".",".",".","."
"","129
002","24","4.000","95.8",".",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","129
003","25","4.000","72.0",".",".",".",".",".",".","28.0",".",".",".",".",".",".",".","."
"Intro to Yoga Practice","Course Total","76","4.000","84.2",".",".",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"","130
001","26","3.773","57.7","15.4","11.5",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"","130
002","24","3.659","45.8","29.2","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Running (Aerobic Fitness)","Course Total","50","3.716","52.0","22.0","14.0",".",".",".",".","12.0",".",".",".",".",".",".",".","."
"","131
002","31","3.313","25.8","12.9","29.0","3.2","6.5",".",".","16.1","6.5",".",".",".",".",".",".","."
"","131
003","19","3.400","15.8","26.3",".","5.3","5.3",".",".","42.1",".",".",".",".","5.3",".",".","."
"","131
004","16","3.857","81.3",".",".",".","6.3",".",".","12.5",".",".",".",".",".",".",".","."
"Cross Traing-Basic Fitness","Course Total","66","3.490","36.4","13.6","13.6","3.0","6.1",".",".","22.7","3.0",".",".",".","1.5",".",".","."
"","132
001","22","3.700","27.3","13.6",".","4.5",".",".",".","54.5",".",".",".",".",".",".",".","."
"","132
002","17","3.563","17.6","23.5",".","5.9",".",".",".","52.9",".",".",".",".",".",".",".","."
"","132
003","25","3.708","28.0","12.0","8.0",".",".",".",".","52.0",".",".",".",".",".",".",".","."
"","132
004","26","3.529","23.1","26.9","11.5","3.8",".",".",".","34.6",".",".",".",".",".",".",".","."
"","132
005","26","3.250","15.4","57.7","3.8",".",".",".","7.7","15.4",".",".",".",".",".",".",".","."
"","132
006","23","3.471","8.7","52.2","13.0",".",".",".",".","13.0",".",".",".",".","13.0",".",".","."
"","132
007","22","3.792","36.4","13.6","4.5",".",".",".",".","45.5",".",".",".",".",".",".",".","."
"","132
008","20","3.824","65.0","10.0","10.0",".",".",".",".","15.0",".",".",".",".",".",".",".","."
"","132
009","17","3.688","23.5","17.6","5.9",".",".",".",".","47.1",".",".",".",".","5.9",".",".","."
"Weight Training","Course Total","198","3.581","26.8","26.3","6.6","1.5",".",".","1.0","35.9",".",".",".",".","2.0",".",".","."
"","133
001","15","3.636","46.7","13.3","6.7",".","6.7",".",".","26.7",".",".",".",".",".",".",".","."
"","133
002","18","3.458","22.2","38.9",".",".",".","5.6",".","22.2","5.6",".",".",".","5.6",".",".","."
"","133
004","19","3.958","57.9","5.3",".",".",".",".",".","36.8",".",".",".",".",".",".",".","."
"","005
133","19","3.708","31.6","26.3","5.3",".",".",".",".","36.8",".",".",".",".",".",".",".","."
"Rhythmic/Step Aerobics","Course Total","71","3.691","39.4","21.1","2.8",".","1.4","1.4",".","31.0","1.4",".",".",".","1.4",".",".","."
"","134
001","18","3.750","33.3","5.6",".","5.6",".",".",".","50.0",".",".",".",".","5.6",".",".","."
"","134
003","24","3.711","33.3","45.8",".",".",".",".",".","20.8",".",".",".",".",".",".",".","."
"Relaxation Tech & Exercise","Course Total","42","3.722","33.3","28.6",".","2.4",".",".",".","33.3",".",".",".",".","2.4",".",".","."
