"URBAN AND REGIONAL PLANNI","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","",""
"Introduction to the City","305
001","","28","3.038","10.7","25.0","35.7","17.9",".",".","3.6","7.1",".",".",".",".",".",".",".","."
"The Real Estate Process","306
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Regional Develop & Planning","312
001","","20","3.300","20.0","30.0","45.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist Geog-European Urbanztn","506
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Economic Analysis","520
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
002","","9","3.813","66.7","11.1","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","590
004","","14","3.536","28.6","50.0","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
005","","10","3.778","50.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"","590
006","","21","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
007","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
008","","16","3.188","25.0","18.8","25.0","31.3",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Topics-Urb & Reg Pl","Course Total","","78","3.607","57.7","19.2","14.1","6.4",".",".",".",".",".",".",".",".","1.3",".","1.3","."
"Site Planning","601
001","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern American Communities","645
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Financial Planning","751
001","","21","3.619","23.8","76.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","781
001","","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","781
002","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Planning Thought & Practice","Course Total","","23","3.870","78.3","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Energy Analysis Seminar","810
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory&Practice-Ed Planning","875
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practical Rsch Design&Inquiry","955
001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","969
001","","22","3.818","72.7","22.7",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","969
002","","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Trends&Iss-Public Plan","Course Total","","39","3.846","74.4","23.1",".","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","990
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","7","",".",".",".",".",".",".",".","71.4",".",".",".","14.3",".",".","14.3","."
"","999
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","6","3.909","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
