"ANIMAL HEALTH & BIOMEDICAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"952
AHABS","","","","","","","","","","","","","","","","","","","",""
"299","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"350
Parasitology","001","","13","2.955","30.8",".","15.4","7.7","30.8",".",".","15.4",".",".",".",".",".",".",".","."
"351
Parasitology Laboratory","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"500
Molecular Biology Techniques","001","","30","3.300","30.0","20.0","33.3","13.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","3","***","","","","","","","","","","","","","","","",""
"750
Vertebrate Viral Disease","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"773
Eukaryotic Microb Pathogenesis","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799
Pract-Veterinary Sci Tchg","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920
Thesis Research Seminar","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"930","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"930","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"930","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Seminar","Course Total","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".",".","."
"990","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","062","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","4","***","","","","","","","","","",".",".",".",".",".",".","."
