"","CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","211","001","","45","2.900","13.3","24.4","33.3","13.3","6.7","4.4","4.4",".",".",".",".",".",".",".",".","."
"Process Synthesis","250","002","","26","2.692","19.2","19.2","19.2","11.5","15.4","7.7","7.7",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311","001","","24","2.771","25.0","4.2","37.5",".","20.8","8.3","4.2",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320","001","","62","2.661","22.6","4.8","19.4","8.1","40.3",".","4.8",".",".",".",".",".",".",".",".","."
"","324","002","","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324","003","","7","2.857","14.3","28.6","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".",".","."
"","324","004","","9","3.389","33.3","33.3","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","","Course Total","","26","3.308","30.8","30.8","23.1","7.7","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326","001","","31","2.871","16.1","19.4","25.8","12.9","22.6",".","3.2",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425","001","","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Transfer Operations","426","001","","29","2.983","27.6","13.8","13.8","24.1","17.2","3.4",".",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430","001","","34","2.838","11.8","14.7","26.5","35.3","8.8",".","2.9",".",".",".",".",".",".",".",".","."
"Chemical Engineering Matl","440","001","","46","2.922","23.9","8.7","23.9","19.6","17.4","4.3",".",".",".",".",".",".",".","2.2",".","."
"Process Design","450","001","","43","3.116","25.6","18.6","25.6","14.0","16.3",".",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470","002","","50","2.940","24.0","8.0","26.0","24.0","14.0","4.0",".",".",".",".",".",".",".",".",".","."
"Macromolecular Hydrodynamics","525","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Heterogeneous Catalysis","535","001","","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Polymer Sci & Technology","540","001","","43","3.146","37.2",".","32.6","9.3","14.0","2.3",".","4.7",".",".",".",".",".",".",".","."
"Processing-Electronic Matls","544","001","","8","3.313","37.5","37.5","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"","562","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","562","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","562","003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","25","3.875","96.0",".",".",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"Intmed Transport Phenomena","620","001","","19","3.421","47.4",".","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Independent Studies","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Design of Biological Molecules","783","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 106 of 401",""
