"L&S","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","430","2.846","17.7","19.3","19.3","20.2","15.6","5.3","2.1",".","0.2",".",".",".",".",".","0.2","."
"","002
101","403","2.893","16.1","20.6","26.1","15.1","14.9","5.5","1.2","0.5",".",".",".",".",".",".",".","."
"","101
003","442","3.604","56.3","19.2","19.5","1.8","1.8","0.5","0.7","0.2",".",".",".",".",".",".",".","."
"Principles-Microeconomics","Course Total","1275","3.124","30.6","19.7","21.5","12.2","10.6","3.7","1.3","0.2","0.1",".",".",".",".",".","0.1","."
"","102
001","411","2.772","14.8","18.2","19.0","20.4","18.0","6.6","1.7","0.2",".",".",".",".",".","1.0",".","."
"","102
002","370","2.912","10.0","25.1","24.9","25.4","11.4","2.4","0.8",".",".",".",".",".",".",".",".","."
"Principles-Macroeconomics","Course Total","781","2.839","12.5","21.5","21.8","22.8","14.9","4.6","1.3","0.1",".",".",".",".",".","0.5",".","."
"Prin/Econ-Accelratd Treatmt","111
001","35","3.486","31.4","42.9","20.0","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"","300
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
002","19","2.763","5.3","26.3","21.1","21.1","21.1","5.3",".",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","24","2.854","8.3","25.0","25.0","20.8","16.7","4.2",".",".",".",".",".",".",".",".",".","."
"","301
001","82","2.750","9.8","19.5","19.5","25.6","22.0","1.2","2.4",".",".",".",".",".",".",".",".","."
"","301
002","100","2.810","10.0","20.0","20.0","26.0","22.0","2.0",".",".",".",".",".",".",".",".",".","."
"Intmed Microeconomic Theory","Course Total","182","2.783","9.9","19.8","19.8","25.8","22.0","1.6","1.1",".",".",".",".",".",".",".",".","."
"","302
001","91","2.604","16.5","14.3","17.6","16.5","22.0","6.6","6.6",".",".",".",".",".",".",".",".","."
"","002
302","94","2.617","14.9","17.0","19.1","19.1","14.9","7.4","7.4",".",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","185","2.611","15.7","15.7","18.4","17.8","18.4","7.0","7.0",".",".",".",".",".",".",".",".","."
"The Real Estate Process","306
001","63","2.710","6.3","14.3","28.6","17.5","30.2","1.6",".","1.6",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","310
001","74","2.692","10.8","17.6","37.8","5.4","14.9","4.1","8.1",".",".",".",".",".","1.4",".",".","."
"Investment Theory","320
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","325
001","7","2.833",".","14.3","42.9","14.3","14.3",".",".","14.3",".",".",".",".",".",".",".","."
"","325
002","17","3.147","11.8","35.3","35.3","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"Public Utilities","Course Total","24","3.065","8.3","29.2","37.5","8.3","12.5",".",".","4.2",".",".",".",".",".",".",".","."
"Money and Banking","330
001","161","2.848","5.6","21.7","32.3","19.9","12.4","4.3",".","3.7",".",".",".",".",".",".",".","."
"Issues-Comparative Economics","365
001","32","3.129","25.0","12.5","34.4","12.5","12.5",".",".",".",".",".",".",".",".","3.1",".","."
"Contemporary Economic Issues","390
014","26","3.500","57.7",".","11.5","23.1",".",".",".",".",".",".",".",".","3.8","3.8",".","."
"Introductory Econometrics","410
001","41","2.561","12.2","17.1","19.5","22.0","9.8","14.6","4.9",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420
001","11","2.950","9.1","18.2","27.3","27.3","9.1",".",".",".",".",".",".",".","9.1",".",".","."
"Econ Analysis-Agric Markets","421
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Analytical Public Finance","441
001","44","2.955","15.9","20.5","25.0","20.5","15.9","2.3",".",".",".",".",".",".",".",".",".","."
"Economic Approach-Human Behav","451
001","26","2.904","15.4","19.2","23.1","30.8","7.7",".","3.8",".",".",".",".",".",".",".",".","."
"Latin Amer Economc Develpmt","462
001","23","3.000","26.1","26.1","8.7","17.4","13.0","8.7",".",".",".",".",".",".",".",".",".","."
"Internatl Trade & Finance","464
001","111","2.599","27.0","11.7","15.3","9.0","10.8","20.7","5.4",".",".",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","474
001","38","2.789","13.2","7.9","47.4","2.6","23.7","2.6","2.6",".",".",".",".",".",".",".",".","."
"Economics of Growth","475
001","46","2.913","19.6","19.6","28.3","10.9","13.0","6.5","2.2",".",".",".",".",".",".",".",".","."
"Urban Transport Economics","478
001","18","2.500","16.7","16.7","5.6","11.1","11.1","16.7","5.6","11.1",".",".",".",".",".",".","5.6","."
"Tutorial-Rsch Project Dsgn","590
001","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Economics II","606
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Economics","671
001","12","3.250","50.0","8.3","8.3","8.3","25.0",".",".",".",".",".",".",".",".",".",".","."
"","682
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
