"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151","001","24","3.021","12.5","20.8","33.3","25.0","8.3",".",".",".",".",".",".",".",".",".",".","."
"Black Music&Am Cultrl Hist","156","001","185","3.639","50.3","23.8","12.4","2.2","2.7",".",".","8.1","0.5",".",".",".",".",".",".","."
"","199","007","46","3.973","95.7","2.2","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199","020","17","3.434","35.3","41.2","11.8","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"Directed Study","","Course Total","63","3.834","79.4","12.7","4.8","1.6",".","1.6",".",".",".",".",".",".",".",".",".","."
"Intro-Black Women Writers","222","001","64","3.841","89.1",".","4.7",".","3.1","1.6",".","1.6",".",".",".",".",".",".",".","."
"Intro to Afro-Am History","231","001","99","2.879","25.3","15.2","21.2","12.1","10.1","8.1","4.0","3.0","1.0",".",".",".",".",".",".","."
"Intro to Afro-American Art","242","001","124","3.435","33.1","34.7","19.4","9.7","2.4",".",".",".",".",".",".",".",".",".","0.8","."
"Latin America-Introduction","260","001","13","3.154","7.7","38.5","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","38","3.303","36.8","34.2","18.4",".","2.6","2.6","5.3",".",".",".",".",".",".",".",".","."
"Blacks, Film, and Society","303","001","48","3.314","20.8","29.2","33.3","2.1","2.1","2.1",".","10.4",".",".",".",".",".",".",".","."
"Black Women in America","324","001","18","3.611","72.2","11.1","5.6",".","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"Intro:History-Caribbean Soc","347","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Afrcn&Caribbn Drama","413","001","13","2.798",".","46.2","23.1","7.7","7.7","15.4",".",".",".",".",".",".",".",".",".","."
"Discrimntn&Prejudice-Am Soc","442","001","52","3.250","28.8","25.0","23.1","7.7","9.6","1.9",".","3.8",".",".",".",".",".",".",".","."
"Smr:Afro-Am Music Hist&Crit","509","001","8","3.438","62.5","12.5",".",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"African American Families","521","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"History of African-Amer Educ","567","001","24","3.463","33.3","29.2","20.8","4.2","4.2",".",".",".",".",".",".",".","4.2","4.2",".","."
"The Harlem Renaissance","602","001","22","3.091","40.9","9.1","13.6","9.1","22.7","4.5",".",".",".",".",".",".",".",".",".","."
"Crit&Theor Iss: Afro-Am Lit","605","001","14","3.727","57.1","14.3",".",".","7.1",".",".",".",".",".",".",".",".",".","21.4","."
"Afr Am Women's Activism 19-20C","624","001","17","3.250","41.2","11.8","23.5","11.8",".",".","5.9",".",".",".",".",".","5.9",".",".","."
"","671","001","19","3.333","36.8","31.6","5.3",".","21.1",".",".","5.3",".",".",".",".",".",".",".","."
"","671","002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am History","","Course Total","29","3.571","58.6","20.7","3.4",".","13.8",".",".","3.4",".",".",".",".",".",".",".","."
"Topics in Afro-Am Society","673","001","19","3.750","63.2","15.8","15.8",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Topics on Afro-Amer Artists","674","001","13","3.417","53.8","23.1",".","7.7",".",".","7.7",".",".",".",".",".","7.7",".",".","."
"","699","008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","10","3.694","60.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","17","3.573","58.8","11.8","23.5",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","790","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","6","",".",".",".",".",".",".",".","83.3",".",".",".",".","16.7",".",".","."
