"","990
085","2","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
087","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
090","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","62","",".",".",".",".",".","",".","",".","96.8","",".",".",".",".","1.6",".","1.6","."
"AHABS
952","Dept. Total","131","3.354","24.4","5.3","10.7","3.8","3.8","",".","",".","48.1","",".",".",".","0.8","0.8",".","2.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"952
AHABS","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","4","3.750","75.0",".","25.0",".",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Senior","","28","3.087","28.6","14.3","25.0","10.7","17.9","",".","",".","3.6","",".",".",".",".",".",".",".","."
"Undergraduates","","32","3.151","34.4","12.5","25.0","9.4","15.6","",".","",".","3.1","",".",".",".",".",".",".",".","."
"Special","","3","4.000","33.3",".",".",".",".","",".","",".","66.7","",".",".",".",".",".",".",".","."
"Graduate","","92","3.587","21.7","3.3","5.4","2.2",".","",".","",".","62.0","",".",".",".","1.1","1.1",".","3.3","."
"Prof Yr 3","","4","3.000",".",".","25.0",".",".","",".","",".","75.0","",".",".",".",".",".",".",".","."
"Professionals","","4","3.000",".",".","25.0",".",".","",".","",".","75.0","",".",".",".",".",".",".",".","."
"","Dept. Total","131","3.354","24.4","5.3","10.7","3.8","3.8","",".","",".","48.1","",".",".",".","0.8","0.8",".","2.3","."
