"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"227
Propagation of Hort Plants","001","","45","3.244","35.6","4.4","46.7","4.4","6.7","2.2",".",".",".",".",".",".",".",".",".","."
"233
Herbaceous Ornamntl Plnt II","001","","38","3.026","34.2","13.2","26.3","7.9","10.5",".","7.9",".",".",".",".",".",".",".",".","."
"299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"326
Plant Nutrition Management","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"338
Plant Breeding&Biotechnolgy","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"345
Fruit Crop Production","001","","30","3.733","66.7","16.7","13.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","002","","9","3.833","77.8",".","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"399","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"410
Undergraduate Seminar","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"500
Molecular Biology Techniques","001","","12","2.917","8.3","16.7","50.0",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"501
Principles-Plant Breeding","001","","19","3.083","31.6","10.5","31.6","5.3","10.5",".","5.3","5.3",".",".",".",".",".",".",".","."
"502
Techniques-Plant Breeding","001","","8","3.500","87.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"561
Introductory Cytogenetics","001","","9","3.563","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"572
Stat Meth for Bioscience II","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","9","3.278","55.6","11.1","22.2",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Special Problems","Course Total","","14","3.487","71.4","7.1","14.3",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"799","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Horticulture Teaching","Course Total","","3","***","","","","","","","","","","","","","","","",""
"812
Select Thry-Quant Traits","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Seminar","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 26 of 401"
