"LANGUAGES & CULTURES OF A Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","",""
"100
Intro to Cultures of Asia","001","","119","3.634","60.5","21.8","9.2","2.5",".","1.7","1.7","2.5",".",".",".",".",".",".",".","."
"235
Genres-Asian Religious Writing","001","","11","3.550","36.4","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"244
SE Asia:Vietnam to Philipns","001","","10","3.000","20.0","30.0","30.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"265
Cen Asia: Silk Route-Afghan","001","","48","3.628","45.8","31.3","20.8",".",".",".",".","2.1",".",".",".",".",".",".",".","."
"274
Religion in South Asia","001","","39","3.564","33.3","51.3","12.8",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"279
Intro to Turkish Folk Lit","001","","38","3.658","73.7","10.5","10.5",".",".","2.6","2.6",".",".",".",".",".",".",".",".","."
"300","002","","46","3.622","54.3","30.4","6.5","4.3",".",".","2.2",".",".",".",".",".","2.2",".",".","."
"300","003","","6","2.917","16.7","16.7","50.0",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"300","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in LCA","Course Total","","57","3.555","49.1","29.8","10.5","3.5",".","1.8","1.8","1.8",".",".",".",".","1.8",".",".","."
"364
Introduction to Buddhism","001","","31","3.850","77.4","9.7","9.7",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"373
Urdu Prose Fict-India&Pakistan","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"401
Modern Indonesian Literature","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"402
Thought of Gandhi","001","","45","3.307","13.3","44.4","31.1","6.7","2.2",".",".","2.2",".",".",".",".",".",".",".","."
"421
Survey of Tibetan Buddhism","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"438
Buddhism&Soc-SE Asian Hist","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"458
Hist SE Asia Since 1800","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"610
Prosmr:Intro-Turkic Linguis","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"615
Writing Travels","001","","18","3.929","66.7","11.1",".",".",".",".",".",".",".",".",".",".","5.6",".","11.1","5.6"
"620","001","","8","3.438","12.5","62.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"620","002","","9","3.438","66.7","11.1",".",".",".",".","11.1",".",".",".",".",".","11.1",".",".","."
"Studies in Religions of Asia","Course Total","","17","3.438","41.2","35.3","11.8",".",".",".","5.9",".",".",".",".",".","5.9",".",".","."
"621
Map & Represent Colonial Space","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"650
Proseminar in Buddhist Thought","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"663
S Asia and the Global System","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"666
Proseminar:Literatures of Asia","001","","17","3.938","88.2",".","5.9",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","000A","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","3.125","75.0","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"799","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"873
Smr-Lang & Lit of S Asia","001","","17","3.688","76.5","11.8",".",".",".",".","5.9","5.9",".",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
