"BUS","","","","","","","","","","","","","","","","","","","",""
"TRANSPORTATION AND PUBLIC  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"243
TRAN P U","","","","","","","","","","","","","","","","","","","",""
"325","001","","8","3.313","50.0","12.5","12.5",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"325","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Public Utilities","Course Total","","12","3.364","41.7","16.7","16.7",".","16.7",".",".","8.3",".",".",".",".",".",".",".","."
"478
Urban Transport Economics","001","","6","3.250","33.3",".","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"671
Energy Economics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"725","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"725","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Public Utilities","Course Total","","5","***","","","","","","","","","","","","","","","",""
