"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","216","3.174","12.5","34.7","35.2","11.1","5.1","0.9",".","0.5",".",".",".",".",".",".",".","."
"","300
002","217","3.284","19.4","35.9","33.2","6.5","2.8","0.9","0.5","0.9",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","433","3.229","15.9","35.3","34.2","8.8","3.9","0.9","0.2","0.7",".",".",".",".",".",".",".","."
"","305
001","50","3.408","28.0","40.0","20.0","4.0","6.0",".",".","2.0",".",".",".",".",".",".",".","."
"","305
002","56","3.573","39.3","37.5","17.9","3.6",".",".",".","1.8",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","106","3.495","34.0","38.7","18.9","3.8","2.8",".",".","1.9",".",".",".",".",".",".",".","."
"","310
001","43","3.384","23.3","41.9","25.6","7.0","2.3",".",".",".",".",".",".",".",".",".",".","."
"","310
002","35","3.586","40.0","45.7","8.6","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","78","3.474","30.8","43.6","17.9","5.1","2.6",".",".",".",".",".",".",".",".",".",".","."
"","365
001","24","3.729","54.2","37.5","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","32","3.766","59.4","34.4","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","399
138","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Marketing Communications","415
001","42","3.762","59.5","33.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing Strategy","420
001","22","3.295","13.6","31.8","54.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","425
001","38","3.526","18.4","68.4","13.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
001","25","3.620","44.0","36.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
002","36","3.375","25.0","41.7","27.8",".","2.8","2.8",".",".",".",".",".",".",".",".",".","."
"","460
003","46","3.511","34.8","32.6","32.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","107","3.491","33.6","36.4","28.0",".","0.9","0.9",".",".",".",".",".",".",".",".",".","."
"Sales Management","635
001","45","3.784","60.0","33.3","4.4",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"","640
001","42","3.063","9.5","35.7","23.8","14.3","9.5","2.4",".","4.8",".",".",".",".",".",".",".","."
"","640
002","41","3.175","9.8","41.5","24.4","17.1","4.9",".",".","2.4",".",".",".",".",".",".",".","."
"Retail Management","Course Total","83","3.119","9.6","38.6","24.1","15.7","7.2","1.2",".","3.6",".",".",".",".",".",".",".","."
"Logistics Strategies","646
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Marketing Management","700
030","44","3.489","18.2","61.4","20.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","715
001","21","4.000","76.2",".",".",".",".",".",".","23.8",".",".",".",".",".",".",".","."
"","715
030","30","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","Course Total","51","3.891","70.6","19.6",".",".",".",".",".","9.8",".",".",".",".",".",".",".","."
"Global Marketing Strategy","720
001","11","3.273","9.1","36.4","54.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","725
001","39","3.797","66.7","17.9","10.3",".",".",".",".","5.1",".",".",".",".",".",".",".","."
"Seminar-Supply Chain Managemnt","726
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","28","3.911","85.7","10.7","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","35","3.857","77.1","17.1","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
219","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
220","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quant Models in Marketing","815
001","21","3.810","61.9","38.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Marketing PhD","972
001","7","3.833","57.1","28.6",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","990
120","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
138","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Marketing","Course Total","2","***","","","","","","","","","","","","","","","",""
