"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","","","",""
"Research","Course Total","109","",".",".",".",".",".",".","",".","88.1","",".",".",".","4.6","",".",".","7.3","."
"Seminar in Genetics","993
001","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"GENETICS
412","Dept. Total","674","3.283","33.8","11.7","21.1","8.8","5.2","2.1","",".","14.8","",".",".",".","0.7","",".",".","1.8","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","25","3.843","68.0","24.0","8.0",".",".",".","",".",".","",".",".",".",".","",".",".",".","."
"Sophomore","","55","3.605","78.2","5.5","1.8","5.5","3.6","3.6","",".",".","",".",".",".",".","",".",".","1.8","."
"Junior","","109","3.174","35.8","12.8","27.5","13.8","4.6","4.6","",".",".","",".",".",".",".","",".",".","0.9","."
"Senior","","315","3.200","34.3","10.5","30.2","13.0","8.6","2.2","",".","0.6","",".",".",".",".","",".",".","0.6","."
"Undergraduates","","504","3.256","41.1","11.1","25.4","11.7","6.7","2.8","",".","0.4","",".",".",".",".","",".",".","0.8","."
"Special","","4","3.150","25.0","50.0",".",".","25.0",".","",".",".","",".",".",".",".","",".",".",".","."
"Graduate","","162","3.554","12.3","11.7","8.6",".",".",".","",".","59.9","",".",".",".","2.5","",".",".","4.9","."
"Prof Yr 1","","1","3.000",".",".","100.0",".",".",".","",".",".","",".",".",".",".","",".",".",".","."
"Prof Yr 3","","3","3.500",".","66.7",".",".",".",".","",".","33.3","",".",".",".",".","",".",".",".","."
"Prof Yr 4","","1","",".",".",".",".",".",".","",".",".","",".",".",".","100.0","",".",".",".","."
"Professionals","","5","3.313",".","40.0","20.0",".",".",".","",".","20.0","",".",".",".","20.0","",".",".",".","."
"","Dept. Total","675","3.283","33.8","11.7","21.2","8.7","5.2","2.1","",".","14.8","",".",".",".","0.7","",".",".","1.8","."
