"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"GEN BUS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","",".",".",".",".",".",".",".",".","",".","100.0","",".","",".","",".",".",".","."
"Sophomore","11","",".",".",".",".",".",".",".",".","",".","100.0","",".","",".","",".",".",".","."
"Junior","402","3.498","49.5","20.4","17.9","3.5","5.7","0.7","0.5",".","",".","1.7","",".","",".","",".",".",".","."
"Senior","571","3.252","32.6","22.8","22.9","7.4","12.1","0.4","0.5","0.5","",".","0.9","",".","",".","",".",".",".","."
"Undergraduates","985","3.354","39.1","21.5","20.6","5.7","9.3","0.5","0.5","0.3","",".","2.4","",".","",".","",".",".",".","."
"Special","3","2.750",".","33.3",".",".","33.3",".",".",".","",".",".","",".","",".","",".","33.3",".","."
"Graduate","228","3.541","22.8","14.0","9.6","1.3","2.6",".",".",".","",".","49.6","",".","",".","",".",".",".","."
"Prof Yr 2","1","",".",".",".",".",".",".",".",".","",".","100.0","",".","",".","",".",".",".","."
"Prof Yr 3","3","4.000","33.3",".",".",".",".",".",".",".","",".","66.7","",".","",".","",".",".",".","."
"Professionals","4","4.000","25.0",".",".",".",".",".",".",".","",".","75.0","",".","",".","",".",".",".","."
