"COMMUNICATION ARTS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"525
Media, Pub Deliberatn&Pub Iss","001","","11","3.455","45.5","18.2","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"568
Interpersonal Influence","001","","18","3.588","61.1","22.2","5.6",".",".",".","5.6","5.6",".",".",".",".",".",".",".","."
"610","001","","17","3.765","70.6","11.8","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"610","002","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"610","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Rhetoric&Pub Address","Course Total","","33","3.833","78.8","9.1","12.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"612
Topics-Communicatn Science","001","","15","3.633","46.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"613","000B","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"613","000A","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"613","001","","18","3.781","55.6","27.8","5.6",".",".",".",".","5.6",".",".",".",".","5.6",".",".","."
"Topics; Broadcasting & Film","Course Total","","24","3.773","54.2","33.3","4.2",".",".",".",".","4.2",".",".",".",".","4.2",".",".","."
"614","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"614","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"614","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Exper in Communicatn","Course Total","","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"615","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Secnd Fld Exp-Communication","Course Total","","3","***","","","","","","","","","","","","","","","",""
"616
Mass Media and Youth","001","","17","3.382","41.2","23.5","17.6","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"651
Adv Video Productn&Directn","001","","20","3.075","15.0","40.0","20.0","5.0","15.0","5.0",".",".",".",".",".",".",".",".",".","."
"656
Adv Motion Picture Productn","003","","13","3.500","46.2","15.4","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"658
Writing for TV & Film","001","","15","3.400","13.3","53.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"663
Media and Cultural Theory II","001","","8","3.714","50.0","25.0","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692
Senior Thesis","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
