"","967
007","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","967
010","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","967
042","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Urology Clerkship-CSC","Course Total","5","***","","","","","","","","","","","","","","","","","","","","","","",""
"SURGERY
936","Dept. Total","192","3.526","41.1","30.7","18.8","",".","",".","",".","0.5","8.9","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","6","4.000","100.0",".",".","",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","7","4.000","100.0",".",".","",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","10","3.932","90.0","10.0",".","",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","23","3.969","95.7","4.3",".","",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","74","3.454","33.8","27.0","39.2","",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","95","3.614","33.7","40.0","7.4","",".","",".","",".","1.1","17.9","",".",".","",".","",".","",".",".",".","."
"Professionals","","169","3.499","33.7","34.3","21.3","",".","",".","",".","0.6","10.1","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","192","3.526","41.1","30.7","18.8","",".","",".","",".","0.5","8.9","",".",".","",".","",".","",".",".",".","."
