"POLITICAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","27","3.939","85.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","3.7","."
"699","025","","6","3.706","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","099","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","64","3.861","75.0","14.1","6.3",".","1.6",".",".",".",".",".",".",".","1.6",".","1.6","."
"817
Empir Method Pol Inquiry:Quant","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"825
Race & Politics in the U.S.","001","","13","3.727","38.5","46.2",".",".",".",".",".","7.7",".",".",".",".",".","7.7",".","."
"828
Contemp Presidency:Iss&Appr","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"829
Political Communication","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"831
Concepts-Political Theory","001","","8","3.917","62.5","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","12.5"
"835
Game Theory&Political Analysis","001","","11","3.636","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"855
Pol&Cultr-Compartv Perspctv","001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"861
Challenges of Democratizatn","001","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"863
The Judicial Process","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"866
Global Environmentl Governance","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"878
Public Management","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"900","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Political Science","Course Total","","9","3.868","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"904
Seminar-American Politics","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"917
Time Series Analysis","001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"932
Seminar-Political Theory","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"960
Smr-International Relations","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"962
Smr: Latin-Amer Politics","001","","7","3.833","57.1","28.6",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"974
Topics in Public Affairs","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"982
Smr-Latin American Area","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 281 of 401",""
