"","999
065","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
087","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
096","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Advanced Independent Study","Course Total","22","4.000","54.5",".",".",".",".","",".",".","45.5","",".",".","",".","",".",".",".",".","."
"NURSING
692","Dept. Total","1809","3.757","63.6","21.3","8.5","1.3","0.3","",".","0.1","4.6","",".","0.1","",".","",".","0.2","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","60","3.850","90.0","3.3","1.7","3.3",".","",".","1.7",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","80","3.975","95.0","5.0",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","212","3.619","48.6","34.0","13.7","3.8",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","998","3.745","62.3","25.7","10.0","1.3","0.3","",".",".","0.3","",".","0.1","",".","",".",".",".",".","."
"Undergraduates","","1350","3.736","63.3","24.7","9.6","1.7","0.2","",".","0.1","0.2","",".","0.1","",".","",".",".",".",".","."
"Special","","45","3.784","62.2","11.1","11.1",".",".","",".",".","13.3","",".",".","",".","",".",".","2.2",".","."
"Graduate","","394","3.848","64.2","10.9","4.3",".","0.8","",".","0.3","18.5","",".",".","",".","",".","1.0",".",".","."
"Prof Yr 4","","20","3.868","75.0","15.0","5.0",".",".","",".",".","5.0","",".",".","",".","",".",".",".",".","."
"Professionals","","20","3.868","75.0","15.0","5.0",".",".","",".",".","5.0","",".",".","",".","",".",".",".",".","."
"","Dept. Total","1809","3.757","63.6","21.3","8.5","1.3","0.3","",".","0.1","4.6","",".","0.1","",".","",".","0.2","0.1",".","."
