"INDUSTRIAL & SYSTEMS ENGR","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practice of Industrial Engr","191","001","","38","3.908","81.6","18.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","","80","3.269","46.3","16.3","16.3","10.0","3.8","3.8","3.8",".",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","","59","3.585","44.1","40.7","6.8","5.1","3.4",".",".",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","002","","26","3.231","23.1","23.1","34.6","15.4","3.8",".",".",".",".",".",".",".",".",".",".","."
"","321","001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","002","","8","3.563","75.0","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"","321","003","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","","25","3.700","68.0","20.0","8.0",".",".","4.0",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","","59","3.364","32.2","28.8","22.0","13.6","3.4",".",".",".",".",".",".",".",".",".",".","."
"Honors in Research","389","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","","20","3.650","45.0","40.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatrl Optimizatn","425","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Industrial Engr Projects","476","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","512","001","","41","3.341","39.0","19.5","24.4","9.8","4.9","2.4",".",".",".",".",".",".",".",".",".","."
"Intro to Decision Analysis","516","001","","38","3.176","34.2","15.8","15.8","13.2","18.4",".",".","2.6",".",".",".",".",".",".",".","."
"Quality Assurance Systems","520","001","","45","3.911","84.4","13.3","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Occupatnl Safty&Health Engr","556","001","","23","3.630","52.2","26.1","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Patient Safety&Error Reduction","559","001","","15","3.633","33.3","60.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Occupatnl Ergonics&Biomechancs","564","001","","16","3.344","18.8","37.5","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Facilities Location Models","578","001","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn-Program Evaluation Sys","610","001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Information Systems","617","001","","16","3.656","50.0","31.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling & Analysis","620","001","","27","3.463","40.7","25.9","18.5","14.8",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Tools & Envirnmt-Optimizatn","635","001","","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design & Anal-Manufact Sys","641","001","","35","3.743","54.3","40.0","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced CAD/CAM","655","001","","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn & Hum Disablty & Aging","662","001","","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","000A","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","032","","38","3.724","47.4","50.0","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","034","","22","3.886","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","035","","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","","Course Total","","84","3.799","59.5","36.9","1.2",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"","699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","016","","6","3.571","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","699","017","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 126 of 401",""
