"LAFOLLETTE SCHOOL PUB AFF Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","",""
"Ethics&Values-Policy Making","530
001","","7","3.000","14.3","14.3","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","799
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
017","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Independent Reading","Course Total","","13","4.000","23.1",".",".",".",".",".",".","76.9",".",".",".",".",".",".",".","."
"Energy Analysis Seminar","810
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Quant Methods-Public Policy","819
001","","43","3.786","58.1","37.2","2.3",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"Administrative Internship","827
001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Smr-Internatnl Bus & Gov","841
001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Macroecon Pol & Int'l Fin Reg","854
001","","22","3.568","40.9","31.8","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pol Econ-Corruptn&Good Governc","857
001","","17","3.588","29.4","58.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop-Int'l Public Affairs","860
001","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Environmentl Governance","866
001","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","869
001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","869
002","","11","3.591","63.6","18.2",".","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Public Affairs","Course Total","","23","3.739","69.6","21.7",".","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Public Program Evaluation","871
001","","17","3.594","41.2","35.3","11.8","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"","873
001","","22","3.818","68.2","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
002","","20","3.775","60.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Policy Analysis","Course Total","","42","3.798","64.3","31.0","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Management","878
001","","34","3.779","61.8","32.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Politics-Pov, Inequal&Soc Pol","883
001","","17","3.676","47.1","41.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
001","","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
002","","11","3.682","36.4","63.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Public Affairs","Course Total","","21","3.643","38.1","52.4","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"PUB AFFR
826","Dept. Total","","303","3.724","54.1","30.4","7.9","1.0","0.7",".",".","5.9",".",".",".",".",".",".",".","."
