"Senior Thesis","692
002","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
002","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
003","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","","","","","","",""
"LEGAL ST
535","Dept. Total","295","2.989","19.0","19.7","33.9","10.2","12.9","4.1","",".","",".","0.3",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"535
LEGAL ST","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","27","2.352",".","7.4","29.6","18.5","29.6","14.8","",".","",".",".",".","",".","",".","",".",".",".","."
"Sophomore","","118","2.942","16.1","16.9","39.0","9.3","12.7","5.9","",".","",".",".",".","",".","",".","",".",".",".","."
"Junior","","56","3.040","17.9","16.1","39.3","12.5","14.3",".","",".","",".",".",".","",".","",".","",".",".",".","."
"Senior","","93","3.279","29.0","29.0","25.8","7.5","7.5","1.1","",".","",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","","294","2.989","19.0","19.7","34.0","10.2","12.9","4.1","",".","",".",".",".","",".","",".","",".",".",".","."
"Special","","1","",".",".",".",".",".",".","",".","",".","100.0",".","",".","",".","",".",".",".","."
"","Dept. Total","295","2.989","19.0","19.7","33.9","10.2","12.9","4.1","",".","",".","0.3",".","",".","",".","",".",".",".","."
