"","990
065","4","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
079","2","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Research","Course Total","12","",".",".",".",".",".",".","",".","100.0","",".",".",".","",".","",".",".",".","."
"Advanced Independent Study","999
065","1","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"S&A PHM
732","Dept. Total","477","3.545","57.2","18.7","11.7","5.0","3.6","0.8","",".","2.7","",".",".",".","",".","",".",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"Sophomore","","3","3.750","66.7",".","33.3",".",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"Junior","","2","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"Senior","","13","3.828","84.6","7.7",".",".","7.7",".","",".",".","",".",".",".","",".","",".",".",".","."
"Undergraduates","","19","3.840","84.2","5.3","5.3",".","5.3",".","",".",".","",".",".",".","",".","",".",".",".","."
"Special","","1","",".",".",".",".",".",".","",".","100.0","",".",".",".","",".","",".",".",".","."
"Graduate","","29","4.000","58.6",".",".",".",".",".","",".","41.4","",".",".",".","",".","",".",".",".","."
"Prof Yr 1","","130","3.026","16.2","24.6","26.9","18.5","10.8","2.3","",".",".","",".",".",".","",".","",".",".","0.8","."
"Prof Yr 2","","128","3.926","92.2","5.5","1.6",".",".","0.8","",".",".","",".",".",".","",".","",".",".",".","."
"Prof Yr 3","","165","3.730","60.0","28.5","10.3",".","1.2",".","",".",".","",".",".",".","",".","",".",".",".","."
"Prof Yr 4","","5","3.636","40.0","40.0","20.0",".",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"Professionals","","428","3.515","56.1","20.6","12.9","5.6","3.7","0.9","",".",".","",".",".",".","",".","",".",".","0.2","."
"","Dept. Total","477","3.545","57.2","18.7","11.7","5.0","3.6","0.8","",".","2.7","",".",".",".","",".","",".",".","0.2","."
