"L&S","","","","","","","","","","","","","","","","","","","","",""
"BOTANY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","","",""
"BOTANY
208","Dept. Total","820","3.245","37.1","16.7","22.2","7.7","7.6","2.3","1.0","4.4","",".","0.1","",".","0.2","0.1","0.1","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","74","3.090","32.4","21.6","17.6","12.2","12.2","2.7","1.4",".","",".",".","",".",".",".",".",".","."
"Sophomore","","195","3.211","29.2","23.1","27.2","8.2","8.7","3.1",".",".","",".",".","",".",".",".",".","0.5","."
"Junior","","172","3.142","29.7","17.4","26.7","13.4","7.0","3.5","1.2",".","",".",".","",".",".",".","0.6","0.6","."
"Senior","","234","3.265","38.9","15.8","25.2","6.0","9.4","1.3","2.1","0.4","",".",".","",".","0.4","0.4",".",".","."
"Undergraduates","","675","3.197","33.0","19.0","25.3","9.2","8.9","2.5","1.2","0.1","",".",".","",".","0.1","0.1","0.1","0.3","."
"Special","","22","3.559","54.5","13.6","4.5",".","4.5","4.5",".","13.6","",".",".","",".",".",".",".","4.5","."
"Graduate","","122","3.739","56.6","4.9","8.2",".","0.8","0.8",".","26.2","",".","0.8","",".","0.8",".",".","0.8","."
"Prof Yr 2","","1","2.500",".",".",".","100.0",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","1","2.500",".",".",".","100.0",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","820","3.245","37.1","16.7","22.2","7.7","7.6","2.3","1.0","4.4","",".","0.1","",".","0.2","0.1","0.1","0.5","."
