"MANAGEMENT AND HUMAN RES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","",""
"734
Venture Creation","001","","12","3.625","33.3","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"738
WAVE Practicum II","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","001","","11","3.778","45.5","36.4",".",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"765","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"765","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"765","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"765","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","23","3.857","52.2","17.4",".",".",".",".",".","30.4",".",".",".",".",".",".",".","."
"774
Seminar-Arts Administration","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Reading & Rsch-Management","204","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","123","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","129","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","Course Total","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","123","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Mgmt&H Resrcs PhD","Course Total","","4","***","","","","","","","","","","","","","","","",""
