"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"200
Biol&Apprec-Companion Anmls","001","","146","2.816","24.7","11.0","21.9","17.1","11.6","8.9","3.4","1.4",".",".",".",".",".",".",".","."
"221
Adv Meat Animal Eval Lab","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"250
Horse Science & Management","001","","23","3.500","39.1","39.1","8.7","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","12","3.400","83.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"305
Intro-Meat Sci & Technology","001","","35","2.914","22.9","11.4","22.9","22.9","14.3","5.7",".",".",".",".",".",".",".",".",".","."
"321
Food Laws and Regulations","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"361
Intro to Animal & Vet Genetics","001","","31","2.887","25.8","9.7","35.5",".","19.4","6.5","3.2",".",".",".",".",".",".",".",".","."
"362
Veterinary Genetics","001","","17","2.912","29.4","11.8","23.5","5.9","23.5",".","5.9",".",".",".",".",".",".",".",".","."
"363
Principles of Animal Breeding","001","","15","2.967","33.3","6.7","33.3",".","20.0",".","6.7",".",".",".",".",".",".",".",".","."
"375","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"375","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"375","004","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","006","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","53","3.985","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","6","3.947","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"414
Ruminant Nutrition","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"415
Appl-Monogastrc Nutr Prncpl","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"430
Sheep Production","001","","15","3.667","53.3","26.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"434
Reproductive Physiology","001","","40","3.013","22.5","12.5","30.0","20.0","12.5","2.5",".",".",".",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 31 of 401"
