"PORTUGUESE (SPANISH & POR Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","",""
"","102
001","17","3.294","41.2","17.6","17.6","5.9","17.6",".",".",".",".",".",".",".",".",".",".","."
"","102
002","24","3.196","54.2","4.2","12.5","8.3","8.3",".","8.3",".",".",".",".",".",".","4.2",".","."
"","102
003","22","2.886","22.7","18.2","22.7","4.5","22.7","9.1",".",".",".",".",".",".",".",".",".","."
"","102
004","15","3.077","20.0","20.0","20.0","6.7","20.0",".",".","6.7",".",".",".",".",".","6.7",".","."
"2nd Semester Portuguese","Course Total","78","3.107","35.9","14.1","17.9","6.4","16.7","2.6","2.6","1.3",".",".",".",".",".","2.6",".","."
"4th Semester Portuguese","202
001","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Portuguese for Business","207
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Yr Conversatn & Compositn","226
001","12","3.318","25.0","25.0","33.3",".","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"Intensive Portuguese","301
001","21","3.650","57.1","23.8","4.8","4.8","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"4th Yr Compositn & Conversatn","312
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Brazilian Civilization","362
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey-Brazil Lit pre 1890","412
001","6","3.875","50.0","16.7",".",".",".",".",".",".",".",".",".","16.7","16.7",".",".","."
"Intro to Romance Languages","429
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Brazillian Women Writers","450
001","7","3.680","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr: Portuguese Literature","772
001","7","3.833","57.1","28.6",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","899
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","2","***","","","","","","","","","","","","","","","",""
"","990
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","4","***","","","","","","","","","","","","","","","",""
"PORTUG
782","Dept. Total","167","3.383","45.5","18.6","13.2","4.2","9.0","1.2","1.2","4.2",".",".",".","0.6","1.2","1.2",".","."
