"","999
047","2","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
049","1","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
050","1","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","21","3.979","90.5","4.8",".","",".","",".","",".","",".",".",".",".","",".",".","4.8",".",".","."
"ELPA
305","Dept. Total","482","3.938","66.0","6.8","1.0","",".","",".","",".","",".","20.7","0.2",".","",".","3.9","1.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".","",".","",".","",".","",".",".",".",".","",".",".",".",".",".","."
"Junior","","1","4.000","100.0",".",".","",".","",".","",".","",".",".",".",".","",".",".",".",".",".","."
"Senior","","3","4.000","66.7",".",".","",".","",".","",".","",".","33.3",".",".","",".",".",".",".",".","."
"Undergraduates","","5","4.000","80.0",".",".","",".","",".","",".","",".","20.0",".",".","",".",".",".",".",".","."
"Special","","64","3.949","84.4","6.3","1.6","",".","",".","",".","",".","3.1",".",".","",".",".","4.7",".",".","."
"Graduate","","413","3.935","63.0","7.0","1.0","",".","",".","",".","",".","23.5","0.2",".","",".","4.6","0.7",".",".","."
"","Dept. Total","482","3.938","66.0","6.8","1.0","",".","",".","",".","",".","20.7","0.2",".","",".","3.9","1.2",".",".","."
