"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"289","018","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"289","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"289","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Independent Study","Course Total","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","057","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","25","4.000","96.0",".",".",".",".",".",".",".",".",".",".",".",".",".","4.0","."
"399
Coord Intrnshp/Cooprtv Educ","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"501
Introduction-Biochemistry","001","","352","3.097","26.7","10.2","39.2","5.7","16.5","0.6","0.6","0.3",".",".",".",".",".",".","0.3","."
"508
General Biochemistry II","001","","150","3.010","32.7","8.7","22.0","12.0","18.7","4.7","0.7",".",".",".",".",".",".",".","0.7","."
"511","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"511","002","","20","3.725","70.0","5.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"511","003","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","Course Total","","58","3.897","87.9","3.4","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Topics in Medical Biochem","001","","44","3.105","25.0","6.8","45.5","13.6","4.5",".","2.3","2.3",".",".",".",".",".",".",".","."
"575
Biology of Viruses","001","","21","3.667","66.7","28.6",".",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"620
Eukaryotic Molecular Biology","001","","49","3.160","22.4","20.4","38.8","2.0","10.2",".","2.0","2.0",".",".",".",".",".",".","2.0","."
"625
Coenzymes&Cofactrs-Enzymlgy","001","","11","3.545","45.5","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"636
Macromolec Crystallog&Dynamics","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"651
Biochemical Methods","001","","47","3.340","38.3","12.8","40.4","4.3","2.1",".","2.1",".",".",".",".",".",".",".",".","."
"665
Biophysical Chemistry","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"682","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"692","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 11 of 401"
