"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","74","3.926","82.4","13.5","4.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"766
Molecular Recognition","001","","14","3.843","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"775
Electronic Struct of Molecules","001","","22","3.381","27.3","18.2","50.0",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"801
Topics-Inorganic Chem","001","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"841
Advanced Organic Chemistry","001","","31","3.355","29.0","12.9","58.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"842
Advanced Organic Chemistry","001","","13","3.922","76.9","15.4",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"864
Statistical Mechanics","001","","29","3.534","37.9","31.0","31.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"872
Topic-Macromoleculr/Biophys","002","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Teaching of Chemistry","Course Total","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"923","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"923","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","039","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"923","077","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"923","157","","12","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Spctroscpy&Spectrochem Anal","Course Total","","26","4.000","92.3",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"941","047","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"941","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Synthetic Organic Chemistry","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"942","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"942","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Physical Organic Chem","Course Total","","2","***","","","","","","","","","","","","","","","",""
"943","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"943","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Bio-Organic Chemistry","Course Total","","4","***","","","","","","","","","","","","","","","",""
"960
Seminar-Physical Chemistry","002","","17","3.529","35.3","35.3","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"962
Smr-Macromolecular Chem","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"964","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"964","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"964","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"964","022","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"964","031","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"964","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"964","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar: Molecular Dynamics","Course Total","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 177 of 401",""
