"220
CBE","","","","","","","","","","","","","","","","","","","","",""
"","990
018","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
019","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Thesis-Research","Course Total","32","",".",".",".",".",".",".",".","100.0","",".",".",".",".","",".",".",".","."
"CBE
220","Dept. Total","721","3.044","32.3","9.3","18.2","10.0","11.2","1.9","1.5","14.4","",".","0.3",".","0.7","",".","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".","",".",".",".","."
"Sophomore","","10","2.800","20.0","30.0","20.0","10.0",".","10.0","10.0",".","",".",".",".",".","",".",".",".","."
"Junior","","96","2.852","25.0","16.7","22.9","10.4","17.7","3.1","4.2",".","",".",".",".",".","",".",".",".","."
"Senior","","425","2.991","35.8","10.1","21.6","13.4","15.1","2.4","1.4",".","",".",".",".",".","",".","0.2",".","."
"Undergraduates","","532","2.960","33.6","11.7","21.8","12.8","15.2","2.6","2.1",".","",".",".",".",".","",".","0.2",".","."
"Special","","7","3.333","57.1",".","14.3","28.6",".",".",".",".","",".",".",".",".","",".",".",".","."
"Graduate","","189","3.686","30.7","2.6","7.4","1.1",".",".",".","54.5","",".","1.1",".","2.6","",".",".",".","."
"Prof Yr 3","","2","4.000","50.0",".",".",".",".",".",".","50.0","",".",".",".",".","",".",".",".","."
"Professionals","","2","4.000","50.0",".",".",".",".",".",".","50.0","",".",".",".",".","",".",".",".","."
"","Dept. Total","730","3.044","33.2","9.2","17.9","9.9","11.1","1.9","1.5","14.2","",".","0.3",".","0.7","",".","0.1",".","."
