"EDU","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"CURRIC
Dept. Total
272","2624","3.940","68.6","4.1","1.2","0.3","0.1","",".","0.1","3.4","0.0","20.1","0.0","0.9","0.6",".","0.6","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"Freshmen","13","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","51","3.867","76.5","17.6","3.9",".",".","",".",".",".",".","2.0",".",".",".",".",".","."
"Junior","390","3.907","65.1","9.7","1.8","0.3",".","",".",".",".",".","23.1",".",".",".",".",".","."
"Senior","1473","3.941","66.5","3.3","1.2","0.3","0.1","",".","0.1",".",".","28.2","0.1",".","0.1",".",".","."
"Undergraduates","1927","3.932","66.7","4.9","1.4","0.3","0.1","",".","0.1",".",".","26.3","0.1",".","0.1",".",".","."
"Special","217","3.970","85.3","0.5","0.9","0.5",".","",".",".","3.2",".","8.3",".",".","1.4",".",".","."
"Graduate","480","3.964","68.5","2.5","0.6","0.2","0.2","",".",".","16.9","0.2","0.4",".","4.8","2.1",".","3.5","."
"Dept. Total","2624","3.940","68.6","4.1","1.2","0.3","0.1","",".","0.1","3.4","0.0","20.1","0.0","0.9","0.6",".","0.6","."
