"KINESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"","116
001","","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116
002","","22","3.475","36.4","40.9","9.1",".",".",".","4.5","9.1",".",".",".",".",".",".",".","."
"First Aid","Course Total","","45","3.721","62.2","26.7","4.4",".",".",".","2.2","4.4",".",".",".",".",".",".",".","."
"Intro to Athletic Training","127
001","","56","2.982","16.1","33.9","23.2","8.9","10.7","1.8","5.4",".",".",".",".",".",".",".",".","."
"","197
001","","22","3.227","18.2","27.3","50.0",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"","197
002","","23","3.370","34.8","21.7","30.4","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"Technique-Athletic Training","Course Total","","45","3.300","26.7","24.4","40.0","4.4","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"","300
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
002","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","Course Total","","42","3.987","97.6","2.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314
001","","43","3.500","25.6","51.2","20.9","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","","16","3.469","31.3","37.5","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","","9","3.167","33.3","33.3","11.1",".","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"Measurement-Motor Behavior","Course Total","","25","3.360","32.0","36.0","20.0","4.0","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"Adapted Physical Activity","316
001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biomechanics","318
001","","23","3.217","26.1","30.4","13.0","21.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"Intro:Neural Basis-Movement","321
001","","53","3.396","28.3","37.7","20.8","11.3","1.9",".",".",".",".",".",".",".",".",".",".","."
"","323
001","","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323
002","","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323
003","","24","3.896","83.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Ed-Elem School Children","Course Total","","66","3.932","87.9","10.6","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Specialized Tchg Experience","332
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350
001","","57","3.421","40.4","28.1","21.1","3.5","3.5","3.5",".",".",".",".",".",".",".",".",".","."
"Phys Agnts-Treat Athl Injry","357
001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lifespan Motor Development","360
001","","20","3.550","40.0","40.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361
001","","23","3.565","56.5","21.7","4.3","13.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"Pract:Adapted Physical Educ","365
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","3.893","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org&Admin-Ath Training Prgm","400
001","","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field-Athletic Training","450
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Med Probs-Exercise & Sports","457
001","","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg-Learn Proc:Motor Skill","462
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478
001","","7","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3"
"Secondary-Phys Ed Stdt Tchg","479
001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3"
"Workshop in Kinesiology","508
001","","9","3.500","44.4","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
