"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"668
Topics-Contemp Soc Welfare","001","","13","3.821","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","070","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","17","3.838","76.5","5.9","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"742
Assess&Treat Chld&Adolescnt","001","","25","3.680","56.0","28.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"801","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"801","003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"801","005","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"801","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"801","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801","011","","10","3.896","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"801","013","","18","3.924","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","014","","13","3.960","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","015","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr IV","Course Total","","102","3.936","90.2","6.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"821
Aging and Mental Health","001","","16","3.933","81.3","12.5",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"825
Grief, Death, Loss and Life","001","","17","4.000","94.1",".",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"841","001","","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"841","002","","24","3.854","79.2","16.7",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Administration-Social Work","Course Total","","48","3.906","85.4","12.5",".","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"854
Crises Intervention-Soc Wrk","001","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"862
Recent Developmnts-Soc Work","001","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"864
Recent Developmnts-Soc Work","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"868
Recent Developmnts-Soc Work","001","","13","3.577","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"869
Recent Developmnts-Soc Work","001","","22","3.727","72.7","4.5","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"944
Social Welfare Policy","001","","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 298 of 401",""
