"L&S","","","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"ECON
296","Dept. Total","3519","2.984","23.1","19.3","22.1","15.3","12.5","4.3","1.7","1.5","0.0",".","",".","",".","0.1","0.2","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","588","2.936","20.2","19.6","22.1","16.2","15.3","4.9","1.4",".",".",".","",".","",".","0.2","0.2",".","."
"Sophomore","","1139","3.071","24.5","20.4","23.9","14.7","11.7","3.9","0.9","0.1",".",".","",".","",".",".","0.1",".","."
"Junior","","774","2.874","16.7","20.3","22.2","19.6","14.6","4.0","2.5",".",".",".","",".","",".",".","0.1",".","."
"Senior","","689","2.805","18.4","17.7","21.2","15.7","14.2","6.5","3.3","1.7","0.1",".","",".","",".","0.3","0.4","0.3","."
"Undergraduates","","3190","2.941","20.5","19.6","22.6","16.4","13.6","4.7","1.9","0.4","0.0",".","",".","",".","0.1","0.2","0.1","."
"Special","","56","3.261","37.5","7.1","21.4","17.9","5.4","1.8",".","7.1",".",".","",".","",".",".",".","1.8","."
"Graduate","","272","3.637","50.4","17.3","16.2","2.2","0.7",".",".","12.9",".",".","",".","",".",".","0.4",".","."
"Prof Yr 3","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Professionals","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"","Dept. Total","3519","2.984","23.1","19.3","22.1","15.3","12.5","4.3","1.7","1.5","0.0",".","",".","",".","0.1","0.2","0.1","."
