"AFRICAN LANGUAGES & LITERA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"The African Storyteller","210","001","189","2.853","17.5","16.4","23.3","19.0","15.9","5.8","1.1","0.5",".",".",".",".","0.5",".",".","."
"Hero&Trickster-Oral Traditn","270","001","23","3.087","43.5","4.3","13.0","21.7","8.7","8.7",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","33","3.531","42.4","30.3","15.2","6.1","3.0",".",".","3.0",".",".",".",".",".",".",".","."
"Hausa Verbal Arts in Translatn","306","001","18","3.611","55.6","22.2","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","322","002","19","3.551","63.2","10.5","5.3","10.5",".","5.3",".","5.3",".",".",".",".",".",".",".","."
"","322","003","27","3.350","29.6","29.6","33.3","3.7",".","3.7",".",".",".",".",".",".",".",".",".","."
"Second Semester Arabic","","Course Total","46","3.430","43.5","21.7","21.7","6.5",".","4.3",".","2.2",".",".",".",".",".",".",".","."
"Fourth Semester Arabic","324","001","14","3.643","78.6",".","7.1",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Colloquial Arabic","325","001","6","3.300","33.3","16.7","16.7",".","16.7",".",".","16.7",".",".",".",".",".",".",".","."
"Colloquial Arabic","326","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Swahili","332","001","13","3.664","38.5","46.2","7.7",".",".",".",".",".","7.7",".",".",".",".",".",".","."
"Fourth Semester Swahili","334","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Xhosa","352","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Xhosa","354","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Hausa","364","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Yoruba","372","001","7","3.864","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Yoruba","374","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory-African Literature","402","001","7","3.636","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp African Fiction","412","001","16","2.908","37.5","6.3","18.8","6.3","6.3","18.8",".","6.3",".",".",".",".",".",".",".","."
"Contemp Afrcn&Caribbn Drama","413","001","15","3.635","66.7","13.3","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Adv Studies-Swahili Lang-Rd","436","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings-Adv Arabic Texts","446","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Afrcn&Caribbean Lit","452","001","14","2.856","21.4","21.4","14.3","14.3","21.4","7.1",".",".",".",".",".",".",".",".",".","."
"African Prose&Poetry-French","454","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Studies-Hausa Lang-Rdgs","466","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Struct&Analysis-Afric Langs","501","001","11","3.273","36.4","27.3","18.2","9.1",".","9.1",".",".",".",".",".",".",".",".",".","."
"","699","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Smr-Mod Afr Lit","901","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Reading & Research","","Course Total","2","***","","","","","","","","","","","","","","","",""
