"Contemp Iss-Engr Profession","101
001","76","3.796","77.6","15.8","2.6","1.3","1.3",".","","1.3",".","",".","",".",".","",".","",".","",".",".","."
"Introduction to Engineering","160
001","59","3.678","59.3","20.3","16.9","3.4",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Current Issues in Intl Engr","413
001","3","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"INTEREGR
496","Dept. Total","138","3.717","70.3","17.4","8.7","2.2","0.7","",".","0.7","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","60","3.607","61.7","16.7","16.7","3.3","1.7","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","68","3.782","75.0","19.1","2.9","1.5",".","",".","1.5","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","6","3.893","83.3","16.7",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","3","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","137","3.713","70.1","17.5","8.8","2.2","0.7","",".","0.7","",".","",".",".","",".","",".","",".",".",".","."
"Special","","1","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","138","3.717","70.3","17.4","8.7","2.2","0.7","",".","0.7","",".","",".",".","",".","",".","",".",".",".","."
