"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Tennis II","Course Total","48","3.606","27.1","29.2","12.5",".",".",".",".","31.3",".",".",".",".",".",".",".","."
"Racquetball II","263
002","14","3.444","21.4","28.6","7.1",".","7.1",".",".","35.7",".",".",".",".",".",".",".","."
"Basketball II","270
001","20","3.667","50.0","30.0","5.0",".","5.0",".",".","10.0",".",".",".",".",".",".",".","."
"Soccer II","273
001","28","3.935","78.6",".",".","3.6",".",".",".","14.3",".",".",".",".",".","3.6",".","."
"Volleyball II","275
001","32","3.800","56.3","15.6","3.1","3.1",".",".",".","21.9",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277
001","20","3.794","70.0","5.0","5.0",".","5.0",".",".","15.0",".",".",".",".",".",".",".","."
"Bicycling","295
001","25","3.658","36.0","32.0","4.0","4.0",".",".",".","24.0",".",".",".",".",".",".",".","."
"","300
001","12","3.625","66.7","25.0",".",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","300
002","19","3.893","57.9","15.8",".",".",".",".",".","26.3",".",".",".",".",".",".",".","."
"","300
003","15","3.636","66.7",".",".",".",".",".","6.7","13.3",".",".",".",".","6.7","6.7",".","."
"Workshop-Physical Activity","Course Total","46","3.730","63.0","13.0",".",".",".","2.2","2.2","15.2",".",".",".",".","2.2","2.2",".","."
"Swim Endur&Stroke Proficncy","301
001","21","3.813","57.1","9.5","9.5",".",".",".",".","23.8",".",".",".",".",".",".",".","."
"Water Safety Instructor","310
001","18","3.765","55.6","33.3","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Topics in Martial Arts","318
001","20","3.737","50.0","40.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Triathlon Training","330
001","25","3.583","8.0","12.0","4.0",".",".",".",".","72.0",".",".",".",".","4.0",".",".","."
"Tennis III","362
001","16","3.688","18.8","31.3",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"PE ACTIV
740","Dept. Total","1873","3.310","34.5","17.5","9.3","3.0","4.2","1.9","0.7","27.2","0.3",".",".",".","0.7","0.3","0.3","."
