"","990
020","1","***","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
021","1","***","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
022","2","***","","","","","","","","","",".",".",".","",".","",".",".","."
"Research and Thesis","Course Total","50","",".",".",".",".",".",".",".","100.0",".",".",".","",".","",".",".",".","."
"M M & I
620","Dept. Total","560","3.510","43.4","16.3","16.4","2.5","3.4","0.7","0.4","16.8","0.2",".",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","13","3.316","15.4","46.2","30.8",".","7.7",".",".",".",".",".",".","",".","",".",".",".","."
"Junior","","101","3.389","46.5","17.8","21.8","3.0","8.9","1.0","1.0",".",".",".",".","",".","",".",".",".","."
"Senior","","289","3.526","52.2","18.0","21.1","3.8","3.1","0.7","0.3","0.7",".",".",".","",".","",".",".",".","."
"Undergraduates","","403","3.480","49.6","18.9","21.6","3.5","4.7","0.7","0.5","0.5",".",".",".","",".","",".",".",".","."
"Special","","7","3.250","28.6","28.6","14.3",".",".","14.3",".","14.3",".",".",".","",".","",".",".",".","."
"Graduate","","139","3.761","23.0","8.6","2.9",".",".",".",".","64.7","0.7",".",".","",".","",".",".",".","."
"Prof Yr 2","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"Prof Yr 4","","2","3.500",".","50.0",".",".",".",".",".","50.0",".",".",".","",".","",".",".",".","."
"Professionals","","11","3.821","81.8","9.1",".",".",".",".",".","9.1",".",".",".","",".","",".",".",".","."
"","Dept. Total","560","3.510","43.4","16.3","16.4","2.5","3.4","0.7","0.4","16.8","0.2",".",".","",".","",".",".",".","."
