"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","24","3.714","70.8","16.7","4.2",".","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"801
Adv Plant Community Ecology","001","","15","4.000","86.7",".",".",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"828
Evolutionary Plant Ecology","001","","7","3.750","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"858
Spec Topics-Plant Physiol","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"860
Plant Cell Biology","001","","9","3.875","66.7","22.2",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"879
Advanced Landscape Ecology","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"940
Smr-Plant Systematics&Evolutn","001","","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"960
Seminar-Plant Physiology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"965
Smr-Developmental Biology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"980
Earth System Sci Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990
Research-Phycology","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"993
Research-Mycology","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"994","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"994","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"994","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"994","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Plant Systematics","Course Total","","10","",".",".",".",".",".",".",".","90.0",".",".",".","10.0",".",".",".","."
"995","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"995","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"995","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"995","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Plant Ecology","Course Total","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"996","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"996","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"996","041","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Plant Physiology","Course Total","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
