"","990
005","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
011","2","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
014","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"Research and Thesis","Course Total","4","***","","","","","","","","","","","","","","","","","",""
"E M A
346","Dept. Total","855","2.875","21.4","15.1","20.8","15.2","16.3","3.6","2.0","5.3","0.1",".","",".","",".","0.1","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","94","2.305","1.1","8.5","18.1","27.7","17.0","9.6","5.3","12.8",".",".","",".","",".",".",".",".","."
"Sophomore","","215","2.643","8.4","15.3","21.9","25.1","17.7","5.1","3.3","2.8","0.5",".","",".","",".",".",".",".","."
"Junior","","197","2.692","20.3","14.2","21.8","12.7","24.9","3.0","2.0","1.0",".",".","",".","",".",".",".",".","."
"Senior","","276","3.227","36.2","17.8","22.5","8.7","12.3","1.8","0.4",".",".",".","",".","",".",".","0.4",".","."
"Undergraduates","","782","2.830","20.3","15.1","21.6","16.5","17.5","4.0","2.2","2.6","0.1",".","",".","",".",".","0.1",".","."
"Special","","8","3.357","37.5","25.0",".","12.5","12.5",".",".","12.5",".",".","",".","",".",".",".",".","."
"Graduate","","65","3.606","32.3","13.8","13.8",".","1.5",".",".","36.9",".",".","",".","",".","1.5",".",".","."
"","Dept. Total","855","2.875","21.4","15.1","20.8","15.2","16.3","3.6","2.0","5.3","0.1",".","",".","",".","0.1","0.1",".","."
