"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","344
023","17","3.294","17.6","41.2","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","344
024","17","3.265","17.6","35.3","29.4","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","344
025","15","3.333","33.3","20.0","33.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","344
026","17","3.235","11.8","41.2","29.4","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","344
027","17","3.265","23.5","29.4","29.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
028","16","3.344","31.3","25.0","31.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry Lab","Course Total","441","3.314","27.2","29.7","26.5","12.2","4.1","0.2",".",".",".",".",".",".",".",".",".","."
"","345
001","238","2.914","22.7","13.9","23.5","13.4","23.1","1.7","1.7",".",".",".",".",".",".",".",".","."
"","345
002","302","2.894","35.8",".","29.5",".","25.5","7.0","2.3",".",".",".",".",".",".",".",".","."
"","345
003","171","2.880","24.6","13.5","28.1","10.5","13.5","5.3","4.7",".",".",".",".",".",".",".",".","."
"","345
004","35","3.557","40.0","31.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Organic Chemistry","Course Total","746","2.928","29.2","9.0","27.2","6.7","20.8","4.6","2.5",".",".",".",".",".",".",".",".","."
"","346
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
003","9","3.111","11.1","44.4","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"","346
004","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Organic Chem Lab","Course Total","18","3.338","27.8","38.9","16.7","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Inorganic Chemistry","511
001","26","3.058","23.1","23.1","26.9","11.5","11.5",".","3.8",".",".",".",".",".",".",".",".","."
"Chemical Instrumentation","524
001","15","3.333","46.7","6.7","20.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry","561
001","28","2.704","17.9","17.9","21.4","3.6","21.4","10.7","3.6",".",".",".",".",".",".","3.6",".","."
"Physical Chemistry","562
001","67","3.030","20.9","14.9","35.8","17.9","6.0","3.0","1.5",".",".",".",".",".",".",".",".","."
"","563
001","20","3.475","35.0","35.0","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","563
002","9","3.167","33.3",".","44.4","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","563
003","20","3.600","45.0","30.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","563
004","17","3.382","23.5","35.3","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","563
005","11","3.500","36.4","27.3","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","563
006","15","3.533","33.3","40.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","563
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","94","3.438","34.0","30.9","29.8","2.1","3.2",".",".",".",".",".",".",".",".",".",".","."
"","564
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","564
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","564
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","564
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","564
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","564
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","9","3.111","22.2","22.2","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"Biophysical Chemistry","565
001","25","2.880","24.0","8.0","44.0",".","16.0",".","8.0",".",".",".",".",".",".",".",".","."
"","567
001","11","3.273","9.1","36.4","54.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
567","6","2.900","16.7","16.7","16.7",".","33.3",".",".",".",".",".",".",".",".","16.7",".","."
"","567
003","10","3.300","20.0","20.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry Laboratory","Course Total","27","3.212","14.8","25.9","48.1",".","7.4",".",".",".",".",".",".",".",".","3.7",".","."
"Spectrochemical Measuremts","605
001","41","3.427","31.7","26.8","36.6","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"Phys Meth-Struct Determintn","606
001","10","3.362","20.0","30.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 175 of 401",""
