"SURGICAL SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","","","",""
"","775
003","1","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Externship","Course Total","27","",".",".",".",".",".",".","",".","100.0","",".",".",".","",".","",".",".",".","."
"SURG SCI
938","Dept. Total","1100","3.222","28.8","8.5","15.2","4.2","4.3","0.8","",".","38.2","",".",".",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Prof Yr 1","","47","4.000","25.5",".",".",".",".",".","",".","74.5","",".",".",".","",".","",".",".",".","."
"Prof Yr 2","","152","3.222","22.4","24.3","42.8","3.9","4.6","0.7","",".","1.3","",".",".",".","",".","",".",".",".","."
"Prof Yr 3","","567","2.958","20.6","9.7","18.0","6.9","6.9","1.4","",".","36.5","",".",".",".","",".","",".",".",".","."
"Prof Yr 4","","334","3.947","46.1","0.6",".","0.3","0.3",".","",".","52.7","",".",".",".","",".","",".",".",".","."
"Professionals","","1100","3.222","28.8","8.5","15.2","4.2","4.3","0.8","",".","38.2","",".",".",".","",".","",".",".",".","."
"","Dept. Total","1100","3.222","28.8","8.5","15.2","4.2","4.3","0.8","",".","38.2","",".",".",".","",".","",".",".",".","."
