"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Design of Machine Elements","Course Total","91","2.896","15.4","14.3","28.6","26.4","12.1","2.2","1.1",".",".",".",".",".",".",".",".","."
"","349
001","9","3.167","22.2","22.2","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","349
002","14","3.179","21.4","21.4","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","349
003","18","3.417","38.9","27.8","27.8",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"","349
004","17","3.353","29.4","29.4","29.4","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","349
005","9","3.167","11.1","22.2","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","349
006","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Design Projects","Course Total","76","3.336","28.9","28.9","27.6","11.8","1.3","1.3",".",".",".",".",".",".",".",".",".","."
"Advanced Graphic Analysis","350
001","14","3.536","21.4","64.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Exper Dsgn Projects I","351
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","352
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","352
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Interdis Expr Dsgn Projects II","Course Total","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
001","70","2.807","32.9","7.1","20.0","14.3","12.9","2.9","10.0",".",".",".",".",".",".",".",".","."
"","361
002","55","2.409","14.5","7.3","14.5","23.6","23.6","7.3","9.1",".",".",".",".",".",".",".",".","."
"Thermodynamics","Course Total","125","2.632","24.8","7.2","17.6","18.4","17.6","4.8","9.6",".",".",".",".",".",".",".",".","."
"","363
001","51","2.951","11.8","29.4","23.5","19.6","11.8","2.0","2.0",".",".",".",".",".",".",".",".","."
"","002
363","65","3.185","23.1","32.3","23.1","7.7","12.3",".","1.5",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","116","3.082","18.1","31.0","23.3","12.9","12.1","0.9","1.7",".",".",".",".",".",".",".",".","."
"","364
001","51","2.775","13.7","7.8","27.5","25.5","23.5","2.0",".",".",".",".",".",".",".",".",".","."
"","364
002","38","2.776","10.5","10.5","23.7","44.7","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"Elementary Heat Transfer","Course Total","89","2.775","12.4","9.0","25.8","33.7","15.7","3.4",".",".",".",".",".",".",".",".",".","."
"Engr Measurements Lab","368
001","67","3.127","17.9","23.9","32.8","19.4","4.5","1.5",".",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory","370
001","82","2.884","9.8","15.9","36.6","22.0","13.4","2.4",".",".",".",".",".",".",".",".",".","."
"Mechanical Dissection","379
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","417
001","13","3.346","23.1","38.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","417
002","10","2.750","30.0","20.0","10.0","10.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".","."
"","417
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Polymer Processing","Course Total","24","3.104","25.0","33.3","16.7","12.5","4.2","4.2","4.2",".",".",".",".",".",".",".",".","."
"","418
001","20","3.700","65.0","10.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418
002","22","3.500","45.5","22.7","18.2","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"","418
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Design with Polymers","Course Total","44","3.580","52.3","18.2","22.7","6.8",".",".",".",".",".",".",".",".",".",".",".","."
"","419
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","419
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","419
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","419
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundamentals-Injection Molding","Course Total","10","3.667","50.0","20.0","20.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Undergrad Rheology Seminar","425
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Vibrations","440
001","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","441
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rheology of Foods&Biomaterials","Course Total","5","***","","","","","","","","","","","","","","","",""
