"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","","",""
"DANCE PROGRAM","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","",""
"","11","001","","22","3.841","86.4","4.5","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","11","002","","20","3.972","85.0","5.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Modern Dance I","","Course Total","","42","3.900","85.7","4.8","2.4",".","2.4",".",".","4.8",".",".",".",".",".",".",".","."
"Modern Dance Technique II","112","001","","17","3.324","23.5","52.9","17.6",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"Modern Dance II","12","001","","17","3.824","82.4","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I-B","126","001","","19","3.368","21.1","42.1","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Asian American Movement","153","001","","8","3.333","62.5",".",".",".",".",".","12.5","25.0",".",".",".",".",".",".",".","."
"Somatic Theory and Practices","161","001","","15","3.800","73.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Production","170","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Production Laboratory","171","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Dance","205","001","","11","3.682","54.5","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet I","21","001","","26","3.952","73.1","7.7",".",".",".",".",".","15.4",".",".",".",".","3.8",".",".","."
"Modern Dance Technique III","211","001","","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Dance Technique IV","212","001","","11","3.500","27.3","45.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet II","22","001","","19","3.853","68.4","15.8","5.3",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"Ballet Technique II-B","226","001","","15","3.577","33.3","33.3","20.0",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Ballet III","23","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Dance/Movemnt Therapy","231","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Music Fundamentals-Dancers","241","001","","21","3.548","52.4","19.0","19.0","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","255","001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","255","002","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Move Comp-Perform/Visul Art","","Course Total","","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance: An Intro Survey","265","001","","20","3.289","35.0","10.0","30.0","15.0","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"African Dance Performance","277","001","","24","3.886","79.2","8.3",".","4.2",".",".",".","8.3",".",".",".",".",".",".",".","."
"","31","001","","29","3.981","86.2","3.4",".",".",".",".",".","10.3",".",".",".",".",".",".",".","."
"","31","002","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Jazz Dance","","Course Total","","51","3.969","88.2","5.9",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Modern Dance Technique VI","312","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique III","325","001","","10","3.667","40.0","40.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","399","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","063","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","","Course Total","","21","3.865","90.5","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","41","001","","49","3.903","65.3","6.1",".",".","2.0",".",".","26.5",".",".",".",".",".",".",".","."
"","41","002","","43","3.875","48.8","16.3",".",".",".",".",".","34.9",".",".",".",".",".",".",".","."
"","41","003","","32","3.897","71.9","18.8",".",".",".",".",".","6.3",".",".",".",".","3.1",".",".","."
"","41","004","","39","3.730","74.4","7.7","7.7","2.6",".",".","2.6","5.1",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","","Page 97 of 401"
