"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"Technical Info Resources","151
001","17","3.656","58.8","29.4",".",".",".","5.9",".",".",".",".",".",".",".","5.9",".","."
"","155
001","18","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
002","17","3.324","35.3","41.2","11.8",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","155
003","7","3.357","28.6","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","155
004","13","3.231","7.7","46.2","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","155
005","17","2.971","11.8","23.5","41.2","17.6",".",".","5.9",".",".",".",".",".",".",".",".","."
"","155
006","17","3.088","5.9","41.2","29.4","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"","155
007","20","3.375","30.0","45.0","20.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","155
008","22","3.500","50.0","18.2","18.2","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","131","3.336","29.0","36.6","21.4","7.6","3.1",".","2.3",".",".",".",".",".",".",".",".","."
"Freshman Independent Study","199
017","53","3.000",".",".","7.5",".",".",".",".","92.5",".",".",".",".",".",".",".","."
"Teams & Engr Profession","265
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
001","17","3.824","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
003","15","3.600","53.3","20.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","275
004","15","3.667","60.0","26.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","65","3.738","61.5","29.2","6.2","1.5","1.5",".",".",".",".",".",".",".",".",".",".","."
"Sophomore Independent Study","299
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","306
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","306
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Chinese Conversatn II","Course Total","2","***","","","","","","","","","","","","","","","",""
"","332
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Technical Japanese II","Course Total","6","3.500","33.3","16.7","33.3",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","375
001","11","3.800","63.6","18.2","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","375
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Tech Japanese II","Course Total","17","3.750","52.9","35.3","5.9",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","397
001","22","3.238","9.1","50.0","22.7","4.5","9.1",".",".",".",".",".",".",".","4.5",".",".","."
"","397
002","20","3.175","15.0","35.0","40.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","397
003","20","3.325","20.0","30.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","397
004","20","3.300","35.0","25.0","30.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","397
005","21","3.619","42.9","42.9","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","397
006","20","3.450","35.0","25.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","397
007","21","3.429","28.6","38.1","23.8","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","397
008","22","3.705","54.5","31.8","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
009","22","3.545","45.5","45.5","4.5",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","397
010","20","3.600","35.0","50.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
011","20","3.450","40.0","35.0","15.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","397
012","21","3.143","9.5","33.3","38.1","14.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"","397
013","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","Course Total","267","3.444","33.0","37.1","22.5","4.1","1.5","0.7","0.7",".",".",".",".",".","0.4",".",".","."
"Tech Communications Intrshp","398
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior Independent Study","399
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
