"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"Directed Study","198
201","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","300
001","23","3.891","78.3","21.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","22","3.841","68.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","22","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","25","3.880","76.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
005","22","3.614","27.3","68.2","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
006","22","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
007","23","3.761","60.9","30.4","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
008","22","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
009","23","3.565","17.4","78.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
010","22","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
011","26","3.865","76.9","19.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
300","24","3.583","58.3","29.2","4.2","4.2",".",".","4.2",".",".",".",".",".",".",".",".","."
"Professional Communication","Course Total","276","3.763","58.7","37.7","2.9","0.4",".",".","0.4",".",".",".",".",".",".",".",".","."
"","301
001","221","2.973","19.9","17.2","27.1","10.9","24.4",".","0.5",".",".",".",".",".",".",".",".","."
"","301
002","136","2.978","17.6","12.5","39.0","12.5","17.6",".","0.7",".",".",".",".",".",".",".",".","."
"Business Law","Course Total","357","2.975","19.0","15.4","31.7","11.5","21.8",".","0.6",".",".",".",".",".",".",".",".","."
"","302
001","28","3.346","32.1","21.4","21.4","14.3","3.6",".",".","7.1",".",".",".",".",".",".",".","."
"","302
002","29","3.397","37.9","24.1","24.1","6.9","6.9",".",".",".",".",".",".",".",".",".",".","."
"Bus Orgs&Negotiable Instrumnts","Course Total","57","3.373","35.1","22.8","22.8","10.5","5.3",".",".","3.5",".",".",".",".",".",".",".","."
"","303
001","55","3.361","41.8","9.1","38.2",".","7.3","1.8",".",".",".",".",".",".",".","1.8",".","."
"","303
002","66","3.053","25.8","6.1","50.0","4.5","9.1","1.5","3.0",".",".",".",".",".",".",".",".","."
"Business Statistics","Course Total","121","3.192","33.1","7.4","44.6","2.5","8.3","1.7","1.7",".",".",".",".",".",".","0.8",".","."
"","304
001","54","3.639","57.4","22.2","13.0","5.6","1.9",".",".",".",".",".",".",".",".",".",".","."
"","304
002","54","3.704","53.7","35.2","9.3","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Bus Statistics","Course Total","108","3.671","55.6","28.7","11.1","3.7","0.9",".",".",".",".",".",".",".",".",".",".","."
"","365
001","7","3.429","42.9","28.6","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","002
365","24","3.435","66.7","4.2","8.3","4.2",".","12.5",".","4.2",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","31","3.433","61.3","9.7","9.7","3.2","3.2","9.7",".","3.2",".",".",".",".",".",".",".","."
"Rdg & Rsch-Business Rsch","399
201","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Experience in Business","450
001","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","710
001","37","3.405","35.1","29.7","24.3","2.7","8.1",".",".",".",".",".",".",".",".",".",".","."
"","710
002","38","3.684","60.5","23.7","10.5","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"","710
003","37","3.473","40.5","27.0","24.3","2.7","5.4",".",".",".",".",".",".",".",".",".",".","."
"Ethics, Integrity and Society","Course Total","112","3.522","45.5","26.8","19.6","2.7","5.4",".",".",".",".",".",".",".",".",".",".","."
"Professional Perspectives","720
001","109","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prof Experience in Business","750
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","765
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Communicatn-Dissertsators","975
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
