"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","105
001","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
003","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
004","9","3.813","55.6","33.3",".",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"","105
011","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
012","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
013","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
014","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","75","3.946","89.3","8.0","1.3",".",".",".",".",".",".",".",".",".",".",".","1.3","."
"","110
001","13","3.958","84.6","7.7",".",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"","110
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev:Career Strategies","Course Total","24","3.978","91.7","4.2",".",".",".",".",".",".",".",".",".",".",".","4.2",".","."
"","115
001","20","4.000","95.0",".",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","115
003","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
004","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
005","9","2.556","22.2","22.2","22.2",".","11.1",".","22.2",".",".",".",".",".",".",".",".","."
"","115
006","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
007","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
008","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
009","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
010","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
011","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
013","11","3.727","72.7","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","115
014","18","3.528","50.0","38.9","5.6",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","115
016","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
017","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
018","32","3.922","87.5","9.4","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","193","3.823","80.8","13.0","3.1","0.5","0.5",".","1.6","0.5",".",".",".",".",".",".",".","."
"Coming to Terms-Cultrl Divrsty","225
001","33","3.576","54.5","30.3","6.1","6.1",".",".","3.0",".",".",".",".",".",".",".",".","."
"","620
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Cnslg & Guidnce","Course Total","11","3.957","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Prac-Interviewing","650
001","124","3.789","75.0","12.9","5.6","2.4","0.8",".","0.8","1.6",".",".",".",".",".","0.8",".","."
"","699
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
027","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","4","***","","","","","","","","","","","","","","","",""
"Counslng-Community Settings","791
001","11","3.773","81.8",".","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Thry&Prac:Grp Work-Cnslrs","802
001","16","3.900","81.3","6.3","6.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Guid Prog Plan & Management","803
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Suprvsd Pract-Counseling I","806
001","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
002","10","3.911","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
