"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","",""
"","100
001","17","3.647","35.3","58.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","17","3.588","29.4","58.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","17","3.647","52.9","23.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","21","3.405","23.8","61.9","9.5",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","100
006","19","3.579","47.4","36.8",".","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","108","3.625","45.4","42.6","8.3","2.8",".",".","0.9",".",".",".",".",".",".",".",".","."
"","111
001","20","3.700","60.0","25.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","111
002","18","3.361","16.7","55.6","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Sci&Technology Newswriting","Course Total","38","3.539","39.5","39.5","13.2","5.3","2.6",".",".",".",".",".",".",".",".",".",".","."
"Found Agri-sci&Nat Resrc Educ","200
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Scientific Communication","212
001","23","3.870","78.3","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
012","7","3.382","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
033","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","17","3.686","70.6","5.9","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family & Consumer Features","330
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Agri-science Educ","345
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","360
001","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
002","20","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
003","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Radio","Course Total","55","3.855","76.4","18.2","5.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
002","11","3.182","27.3","45.5",".","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"","375
003","17","3.676","64.7","5.9","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
004","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","51","3.662","70.6","11.8","9.8","3.9","2.0","2.0",".",".",".",".",".",".",".",".",".","."
"Teaching Methods:Agri-sci Educ","377
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
012","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
033","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
034","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Integrated Marktng Communicatn","435
001","18","3.806","72.2","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Native Amer Envir Iss & Media","444
001","13","3.577","61.5","7.7","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teaching in Agri-sci Educ","445
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Publications Editing","505
001","16","3.433","56.3","6.3","18.8",".","6.3","6.3",".",".",".",".",".",".",".",".","6.3","."
"","515
001","12","3.708","66.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","515
002","7","3.571","57.1","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","Course Total","19","3.658","63.2","15.8","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","530
001","14","3.821","85.7",".","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","530
002","15","3.400","33.3","26.7","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
