"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"3rd Sem French-Honors","283
001","","14","3.571","35.7","42.9","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"4th Sem French-Honors","284
001","","13","3.577","30.8","53.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Lang&Cultr-Honors","288
001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practical French Converstn","302
001","","46","3.967","93.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Avance express orale&ecrite","311
001","","21","3.149","9.5","47.6","23.8",".","19.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Business French","314
001","","14","3.865","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
001","","22","3.797","68.2","22.7","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
002","","23","3.877","69.6","26.1",".",".",".",".",".",".","4.3",".",".",".",".",".",".","."
"Intro-Middle Ages to Revol","Course Total","","45","3.839","68.9","24.4","4.4",".",".",".",".",".","2.2",".",".",".",".",".",".","."
"","322
002","","22","3.693","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
003","","22","3.527","36.4","45.5","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Intro French Lit-19 & 20 C","Course Total","","44","3.610","40.9","45.5","9.1","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"","347
001","","21","3.761","52.4","47.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
347","","24","3.633","66.7","16.7","8.3",".",".",".","4.2",".",".",".",".",".",".",".",".","4.2"
"Civ Franc:orig au 18e siecl","Course Total","","45","3.692","60.0","31.1","4.4",".",".",".","2.2",".",".",".",".",".",".",".",".","2.2"
"Civ France:Revolutn-contemp","348
001","","22","3.664","40.9","50.0","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
000B","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","420
000A","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","4","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic-French: Study Abroad","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Intro to Romance Languages","429
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"French Lit-Middle Age&Renas","430
001","","12","3.632","41.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","8.3"
"","449
000A","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","449
000B","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","6","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Questions de Civ Francaise","Course Total","","6","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"African Prose&Poetry-French","454
001","","11","3.672","54.5","18.2","18.2",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","462
000A","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","462
001","","12","3.554","41.7","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"Topics in French Literature","Course Total","","17","3.537","41.2","23.5","23.5","5.9",".",".",".",".",".",".",".",".",".",".","5.9","."
"Tech d Exprssn Ecrit&Oral I","523
001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tech Expressn Ecirt&Oral II","524
001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry/Prac-Francophone Drama","595
001","","14","3.792","50.0","35.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Lit Francaise-XVIe Siecle","646
001","","10","3.875","60.0","20.0",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Roman Francais-XXe Siecle","648
001","","18","3.529","27.8","44.4","22.2",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","699
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","3.737","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
024","","15","3.957","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 210 of 401",""
