"Water Safety Instructor","","","","","","","","","","","","","","","","","","","","",""
"Topics in Martial Arts","318
001","20","3.737","50.0","40.0","5.0",".",".",".",".","5.0",".",".",".","",".","",".",".",".","."
"Triathlon Training","330
001","25","3.583","8.0","12.0","4.0",".",".",".",".","72.0",".",".",".","",".","","4.0",".",".","."
"Tennis III","362
001","16","3.688","18.8","31.3",".",".",".",".",".","50.0",".",".",".","",".","",".",".",".","."
"PE ACTIV
740","Dept. Total","1873","3.310","34.5","17.5","9.3","3.0","4.2","1.9","0.7","27.2","0.3",".","",".","",".","0.7","0.3","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","177","2.771","27.7","15.8","19.2","6.2","15.8","6.2","3.4","4.0","0.6",".","",".","",".","0.6","0.6",".","."
"Sophomore","","353","3.195","42.2","23.2","9.6","6.5","7.6","4.0","0.6","5.7",".",".","",".","",".","0.3","0.3",".","."
"Junior","","270","3.500","50.4","15.9","11.5","1.5","4.1","1.1","0.4","14.8","0.4",".","",".","",".",".",".",".","."
"Senior","","779","3.512","33.5","18.0","8.0","1.8","1.3","1.0","0.4","34.3","0.4",".","",".","",".","1.0","0.3","0.1","."
"Undergraduates","","1579","3.293","37.7","18.6","10.2","3.3","4.8","2.3","0.8","21.2","0.3",".","",".","",".","0.6","0.3","0.1","."
"Special","","105","3.338","10.5","12.4","3.8","1.9",".",".","1.9","61.0",".",".","",".","",".","2.9","1.0","4.8","."
"Graduate","","158","3.619","19.0","11.4","6.3","0.6","0.6",".",".","61.4","0.6",".","",".","",".",".",".",".","."
"Prof Yr 1","","4","4.000","75.0",".",".",".",".",".",".","25.0",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","6","4.000","50.0",".",".",".",".",".",".","50.0",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","21","3.455","19.0","19.0",".","4.8","4.8",".",".","52.4",".",".","",".","",".",".",".",".","."
"Professionals","","31","3.667","32.3","12.9",".","3.2","3.2",".",".","48.4",".",".","",".","",".",".",".",".","."
"","Dept. Total","1873","3.310","34.5","17.5","9.3","3.0","4.2","1.9","0.7","27.2","0.3",".","",".","",".","0.7","0.3","0.3","."
